==20055== Memcheck, a memory error detector
==20055== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==20055== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==20055== Command: RunCollatz
==20055== 
430887 192778 449
247794 238336 368
60493 16650 340
2363 28 183
20060 97764 351
80541 83427 320
737 212 171
568 430 142
21531 22863 269
174068 203136 365
9803 4023 262
33070 98168 351
8457 5012 262
76230 77374 351
4920 3785 215
5199 4325 215
164371 66414 383
76092 68981 325
874 863 179
6997 97282 351
926 7085 262
160337 126506 383
21730 61314 340
6125 3896 236
546 98815 351
15435 490365 449
313751 171088 443
277 179 128
585 404 142
392755 112400 443
61 677 145
740 13 171
98587 48095 351
140796 480571 449
60379 97468 351
98 2903 209
493 6653 262
302 281 118
9442 53866 340
8445 6620 257
730 32 171
8098 5772 262
676 710 171
204568 277857 443
2354 4587 238
5307 4684 210
28625 51529 324
305733 48830 443
30020 258271 443
709 716 65
150 797 171
142619 2246 375
93452 92922 315
192380 97489 383
229 842 171
65194 41501 340
87765 70125 351
36988 75857 340
346492 322228 441
9860 1937 262
552 438 142
276 408 144
76122 68859 325
36030 161238 383
73794 65819 325
144 12 122
530 777 171
444 764 171
4539 8607 262
905 819 179
689 370 145
9918 6997 260
744 471 171
298491 295500 327
726 645 171
17506 68140 340
69787 7670 340
8543 88465 351
9508 9356 198
349 612 142
27829 49300 324
195747 35569 383
423 312 144
67606 21802 340
3731 4879 215
9321 8737 260
627 523 137
6709 3417 262
13259 12925 276
2063 5625 238
37 453 144
419380 145551 449
72 974 179
403882 184931 443
5895 8661 262
157200 387982 443
252997 152960 443
2814 9669 262
81096 52927 351
65085 11341 340
27685 43377 324
55937 79108 351
9757 9180 260
6888 89413 351
173 660 145
2337 5211 238
67588 78207 351
7714 7373 239
1256 4820 238
17722 229905 386
439812 73941 449
311706 346229 441
329151 65985 443
63921 89225 351
67270 21397 340
5631 85 238
973 673 179
47626 5386 324
39300 6641 324
83899 40714 351
56191 80525 351
88210 8582 351
499337 437733 444
495995 218005 449
114770 85274 354
851 256 171
143 580 144
994 206 179
9568 2505 262
1962 2755 209
54260 18945 340
13203 23507 279
22 843 171
529 190 144
909 959 174
48037 18809 324
6249 3304 262
2134 1649 180
99755 17568 351
90369 19530 351
47 789 171
6250 6991 257
3034 5364 238
254 4893 238
19126 61153 340
976 189 179
3730 5437 215
415 922 179
305 29 128
278051 266749 389
903 795 179
8700 1044 262
132003 90429 354
144501 682 375
408539 36160 443
22536 282135 443
171693 2216 383
220505 255630 443
965 8286 262
5344 6336 262
2901 5239 238
416950 260290 449
217989 392293 443
40744 53145 340
8391 1683 262
542 570 137
74233 72262 294
90361 9118 351
266762 82 443
3191 5426 238
368 678 145
30691 31627 285
58 615 144
206 359 144
387 101 144
2727 34995 311
553 579 137
8947 2291 262
256971 299052 407
632 594 132
8628 1313 262
39215 88356 351
91 413 144
409611 358970 436
2275 6356 262
6621 5434 262
77889 498339 449
87771 27285 351
418 607 142
850 238 171
3060 5218 238
34946 90784 351
8459 874 262
4290 484 238
270479 272758 363
34472 45730 324
460 619 142
58026 11389 340
31234 18158 308
3494 359 217
10700 33418 308
