==21170== Memcheck, a memory error detector
==21170== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==21170== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==21170== Command: RunCollatz
==21170== 
495981 494426 351
55407 11122 340
5171 23113 279
355614 351433 379
216065 219889 386
71275 35517 340
2967 72754 340
124748 125691 318
75044 3761 340
225409 222326 368
44062 65196 340
682329 680700 336
3 11426 268
178823 182587 365
6523 4812 262
24698 8366 282
173035 173093 228
65552 60695 335
89852 96185 333
417915 419521 343
80960 85266 320
83676 96767 333
50836 22547 324
19170 20064 274
29223 72213 340
32887 31124 285
66634 56291 335
97784 91191 333
85740 82369 320
23745 38853 324
6233 21508 279
56427 48927 340
15563 27052 308
209043 210921 342
22185 60081 340
12370 50087 324
54247 1910 340
910696 911804 339
16960 15520 266
58767 53387 322
162246 168637 352
38707 62856 340
79930 98540 333
21361 65138 340
5369 72588 340
58095 36557 340
49899 75581 340
720787 723244 411
251643 248309 350
21746 46547 324
61038 29982 340
9698 1333 262
91540 91103 333
27210 37473 324
52288 33698 324
595663 596192 297
38571 17992 324
72007 39798 340
220092 217212 355
60499 1954 340
69738 33626 340
970130 969384 321
889998 890741 339
34852 62288 340
114961 113413 305
167047 165018 352
71830 55681 335
8503 39236 324
45341 65426 340
778282 777643 269
124238 130932 344
279929 278622 314
24078 72103 340
39359 21760 324
1109 23640 282
4866 74793 340
60361 64828 335
1277 59242 340
164182 162980 321
31150 40625 324
26488 28264 308
27662 5309 308
64179 44657 340
145565 148884 357
368156 365932 348
16412 44261 324
189745 185491 347
67840 27196 340
36242 67364 340
83611 85138 320
25916 76239 340
950470 951213 414
700212 699765 336
274378 275195 332
18187 58580 340
498053 498435 351
85629 97630 333
63399 74232 325
350727 351818 379
57744 42777 340
103339 90263 341
32678 36835 324
50033 72928 340
67698 43094 340
47875 23504 324
77429 48817 351
74781 9830 340
220905 225503 368
779985 780373 344
452541 453193 369
449664 449579 219
147037 145328 357
29842 23464 308
837200 836266 344
510624 512953 470
96943 79167 333
680700 682413 336
62513 14047 340
697400 695633 336
216849 217709 324
38325 15077 324
7010 46668 324
178079 178465 316
52679 62516 335
21284 74009 340
21734 13441 279
98207 89042 333
93672 85225 333
207595 211106 355
71604 62785 330
2252 73912 340
3074 23764 282
24779 71845 340
43698 6773 324
336196 329786 353
23031 20374 269
190198 185800 360
125742 127634 331
67716 65260 312
317747 317174 309
84407 102224 341
11917 31386 308
60516 29231 340
124053 126070 318
105833 104561 341
400867 400528 343
607 46720 324
27412 7196 308
26263 45752 324
38901 35433 324
92858 103106 341
9225 77069 351
14676 77341 351
147244 149563 326
215858 219345 386
777040 776815 300
49614 6260 324
31491 48106 324
74394 58725 335
118239 128071 336
919437 919384 339
46892 55835 340
35355 9537 311
96461 79424 333
126202 131018 344
47380 52183 309
766626 765968 331
56077 5920 340
20004 29228 308
714434 715126 274
51179 27514 324
28270 46718 324
23020 43222 324
558533 557194 315
99389 78057 338
166540 165307 352
27309 64485 340
4980 50220 324
906377 906948 339
29804 69669 340
142483 149357 375
44376 406 324
81998 96244 333
16894 49135 324
71031 15310 340
23181 70833 340
325802 324288 384
2906 7179 262
315009 318060 353
849613 849797 251
123663 125044 318
35505 19652 311
13671 8215 276
96931 82807 333
5874 45179 324
273396 274057 358
39584 46908 314
32977 75170 340
867051 866395 326
30653 44636 324
612355 612168 235
327902 337300 366
326 72673 340
129764 117610 336
4525 36222 324
126141 120109 336
69086 74076 325
72293 18015 340
8781 65976 340
57403 54687 322
72089 10457 340
349712 353519 379
98432 93775 328
62389 76192 330
5307 49427 324
86460 98305 333
50133 4915 324
149952 139641 375
849671 849468 207
45013 2325 324
37195 59326 340
66297 33970 340
17980 32376 308
120520 128394 336
84934 95439 333
34831 67050 340
99874 99636 328
20156 67451 340
264738 264826 301
295349 296678 327
506148 505927 245
903972 904567 264
351990 351643 348
368360 368311 317
190218 185468 360
88465 89452 315
412539 413426 343
52090 58579 340
14137 75321 340
94193 82927 333
395316 395696 268
76378 45057 340
57943 33086 340
52763 29957 340
7110 52352 324
23376 36928 324
42831 43459 257
25757 32710 308
628959 629422 279
72405 13766 340
60560 26634 340
150431 149288 370
52277 28795 324
45099 32943 324
69013 44960 340
27772 54185 340
797610 797385 269
146687 144338 357
39253 52048 314
373378 371335 317
17398 29589 308
69671 75064 325
12957 6817 268
5510 12469 268
30151 39950 324
33204 36015 324
22260 16471 279
604483 603574 372
594148 592377 328
123177 125044 331
89748 80774 333
220947 221845 355
37087 51832 314
68317 49245 340
215095 223105 386
370729 375699 361
207301 207187 311
51803 10497 324
117530 118895 336
12979 61572 340
62314 53519 335
88839 78794 333
31370 63213 340
63303 63030 317
335780 338001 366
100163 88036 333
39046 64334 340
7351 64269 340
63754 33511 340
65861 7136 340
29929 36395 324
67379 63211 330
39769 10426 324
39873 69357 340
408615 408119 312
91632 97066 328
142996 140901 375
20020 3203 279
43662 26832 324
65249 65999 268
69118 49321 340
53793 9585 340
597674 600847 372
189868 186465 360
39441 28672 324
600570 598163 372
63320 2637 340
148077 138439 375
1711 46181 324
73568 41073 340
289188 289293 252
65550 76337 325
332650 327702 353
249103 251738 332
25317 20830 282
29423 11032 308
55222 63925 335
10220 59857 340
723330 722309 411
166397 162034 352
957636 958140 339
92333 81873 333
175503 179031 347
11289 2416 268
842887 843431 331
76995 10861 340
26964 43415 324
597860 596010 372
63778 71932 325
27067 74685 340
56736 37027 340
10708 51477 324
53008 45079 340
40187 54863 340
27645 20661 308
54107 67100 335
10066 51596 324
85197 87038 302
469360 467972 382
398506 399316 330
980386 981199 427
352599 354336 348
20163 65700 340
374738 371186 348
310794 311055 371
8534 12784 268
211670 208444 355
20077 19693 274
52414 53767 340
5678 38452 324
258982 258296 301
21845 39506 324
61285 23989 340
9296 8073 260
17500 59559 340
38012 22366 324
26477 75187 340
11416 65083 340
79339 98399 333
27743 72042 340
77651 56945 351
64841 59364 335
17014 58941 340
86698 86922 227
56722 14816 340
61258 51513 340
17753 16506 279
37493 2773 324
331082 331834 291
2764 62390 340
25498 18687 282
304321 303463 340
243649 242411 319
166817 165587 352
76991 4703 340
691360 691791 274
63002 1701 340
241575 240617 368
928819 928570 308
8024 31260 308
91159 102045 341
218172 215985 386
169916 165756 352
87337 97615 333
4478 74811 340
45819 60809 340
68705 15491 340
420232 420302 343
89545 94063 333
84860 91753 333
49499 29844 324
189361 189217 316
32595 48644 324
92453 77899 338
10891 28498 308
62315 48830 340
670735 670032 292
35978 69538 340
43372 7129 324
9026 16024 276
384741 383632 330
80985 83976 320
89435 87874 333
89535 99992 333
786322 786163 238
16256 10966 276
7019 75965 340
19712 22581 274
43877 43001 257
37081 38761 306
534332 532853 377
24847 21878 282
26280 25738 246
6954 56361 340
93451 80688 333
53730 17648 340
25193 68541 340
225436 215740 386
27449 26294 308
49547 48257 296
11891 37382 324
273176 274526 358
65421 73746 325
474401 476787 351
331837 333802 353
116836 128928 336
97663 97685 160
40218 58964 340
20036 397 279
36133 68465 340
30599 3814 308
46398 32609 324
17973 68562 340
330013 336820 366
76555 46039 340
61526 37563 340
279507 279323 221
95284 99203 328
36312 51649 314
56737 45723 340
26695 56186 340
191578 191416 329
73672 45202 340
194097 193542 329
64209 16497 340
234231 235414 381
919771 919795 432
122041 117217 336
680385 683441 336
64555 58185 335
24431 36195 324
140446 147187 375
39909 45819 314
44379 53301 340
52043 67629 340
144370 141679 375
152961 152483 264
79694 85064 320
67930 59749 335
137978 138013 251
59406 73276 335
306464 308848 371
69146 37083 340
97864 91120 333
12743 17435 276
71289 9958 340
24549 24975 264
4868 47782 324
14172 56669 340
259801 258762 301
197301 197931 267
139539 142993 375
66453 30982 340
449270 446458 369
33532 29958 285
44262 33467 324
87254 89718 333
23063 68801 340
279111 278709 314
766253 766543 300
60696 62838 335
41553 38823 306
49487 55591 340
760720 761693 300
470510 470500 263
50697 53534 340
230555 230325 275
39306 60331 340
17773 7203 279
5583 56877 340
169544 162929 352
576190 576155 253
11056 38027 324
446305 450524 369
6466 3832 262
75619 54257 335
334555 335846 322
495276 497082 320
533181 534777 377
40245 39178 306
213772 220811 386
64182 16858 340
32696 64091 340
557407 556881 315
4101 66792 340
82551 83380 320
33225 60524 340
42158 12225 324
109265 108647 292
38351 28997 324
47719 73671 340
117519 117503 305
745533 744623 256
