==27514== Memcheck, a memory error detector
==27514== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==27514== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==27514== Command: RunCollatz
==27514== 
3822 18760 279
17168 2775 276
20226 11240 279
15446 1598 276
3979 12819 268
20522 15956 279
7684 16638 276
13353 17611 271
16455 19403 279
7621 16402 276
5972 13391 276
908 4380 238
31121 28648 272
8771 1038 262
2452 28735 308
1026 21102 279
32322 31488 285
25986 2405 282
1442 27639 308
24929 595 282
27587 2924 308
11064 13747 276
20823 19895 243
21521 29868 308
3526 31 217
16839 10149 276
25928 2069 282
24172 14991 282
17586 12533 276
24482 8950 282
6111 31289 308
1721 31899 308
32145 4489 308
5798 3082 238
15533 20995 279
1892 27304 308
27646 13140 308
4498 16402 276
11662 3298 268
5053 3979 215
17104 11785 276
4609 11826 268
32203 25480 308
18314 31912 308
9059 2670 262
1745 19365 279
5822 21579 279
12146 5917 268
14358 29129 308
4600 28669 308
7622 20637 279
8708 23572 282
23506 23562 282
20408 23659 282
11820 8298 268
21581 21192 256
5042 12280 268
28694 25327 308
23997 25008 264
5379 6099 236
17257 31590 308
17029 28198 308
20824 5682 279
26554 7320 282
26889 10121 308
28439 4221 308
22614 6422 279
18768 32221 308
28490 7149 308
4687 12544 268
19156 20521 274
1290 8063 262
7124 16375 276
7962 10522 260
11329 11592 237
30657 25198 308
27603 6635 308
12463 30920 308
21976 11865 279
11605 27985 308
8288 21560 279
23217 29126 308
10866 25627 282
648 20377 279
27237 13269 308
3111 8446 262
12863 1401 268
1478 12361 268
25053 19089 282
15565 25361 282
17304 20382 279
12814 21402 279
23859 2761 282
12052 32586 308
11506 25230 282
11590 9 268
31162 31507 285
27607 14200 308
18650 15161 279
19580 32745 308
18856 22501 274
8066 23002 279
8030 7816 252
12169 9803 268
20546 19451 274
7301 5935 262
13908 31848 308
14357 10890 276
5665 7353 262
1154 7335 262
29111 29696 272
28137 5199 308
8652 1778 262
15347 32697 308
29167 14918 308
28708 7555 308
12473 8252 268
29897 5265 308
29125 5481 308
28939 18835 308
11306 10404 268
30110 9802 308
4433 6747 262
9700 21364 279
6281 32283 308
22018 30836 308
21594 13253 279
32217 26628 285
5462 25399 282
30068 20487 308
20296 12613 279
27736 12022 308
21752 6963 279
2052 27395 308
18386 27645 308
27862 2824 308
2138 2078 170
11000 14227 276
22475 5557 279
20649 21986 269
2841 22659 279
13373 25842 282
32294 10920 308
21025 11380 279
13057 20418 279
179 17971 279
2365 15824 276
26778 7083 308
16039 8620 276
19236 29032 308
8623 11983 268
13985 20968 279
3669 5725 238
24330 18531 282
10748 75 262
24328 25465 264
19852 19298 274
23072 13236 279
10298 14924 276
29790 3994 308
5112 19879 279
15140 5434 276
15247 1374 276
1759 19344 279
31888 29475 285
18586 10018 279
18036 5225 279
6096 32495 308
10687 29237 308
11519 15219 276
16031 29581 308
26463 24157 264
1852 7272 262
15609 20507 279
17478 2911 276
11622 21941 279
11967 14681 276
17955 21068 274
6796 15120 276
26409 21594 282
14144 2523 276
17731 31978 308
4629 26240 282
3449 22094 279
30800 29630 272
1199 20831 279
26774 6576 308
20159 8823 279
2876 19709 279
14928 11207 276
27105 28537 259
4195 31218 308
19645 23189 274
8157 14913 276
9478 1489 262
5030 20438 279
11712 19032 279
7597 407 262
1380 17430 276
13217 20449 279
30902 5880 308
15108 13140 276
9506 5586 262
26759 20330 308
1075 31340 308
6856 7531 257
14446 1434 276
371 30819 308
21305 3213 279
9020 2191 262
8468 30185 308
16990 31252 308
1205 15667 276
31918 14838 308
2865 24251 282
4030 11773 268
29530 18654 308
15156 30224 308
26373 19957 282
18605 367 279
27019 27221 259
4323 23210 279
1672 488 182
27677 9697 308
618 19531 279
2930 17199 276
32765 3358 308
24429 10463 282
2277 19797 279
17928 28229 308
18984 18376 261
23132 29366 308
20918 10040 279
620 9615 262
9509 24888 282
28001 15015 308
32101 13697 308
837 904 179
3158 11407 268
8285 1698 262
12849 26510 282
22704 24801 282
32656 2578 308
17535 16948 235
15865 18937 279
8037 16497 276
3998 30377 308
5282 20801 279
21153 27220 308
3186 24013 282
6823 9094 257
20324 28469 308
16945 28430 308
14672 31652 308
10444 1609 262
29724 3136 308
4179 31880 308
427 24351 282
9214 10355 260
13372 3917 276
9630 20049 279
26452 30969 308
22996 19356 274
4764 25609 282
14343 11675 276
27325 21786 308
25607 20120 282
13065 20989 279
3749 20579 279
26756 3080 308
5429 6737 262
158 12235 268
2591 18216 279
19487 10751 279
562 20311 279
11302 8116 268
12555 28534 308
27925 10491 308
19593 28063 308
6479 26979 308
10196 29937 308
21297 21669 256
25109 30177 308
13630 7858 276
32561 14906 308
32326 23076 308
14442 29232 308
32274 4827 308
8607 2140 262
30179 10674 308
12326 11691 250
2428 21138 279
16079 10824 276
7752 16804 276
8578 32626 308
22909 26591 282
9799 7791 260
15551 17001 266
18073 5789 279
22072 18469 274
5041 6800 262
10084 24707 282
24739 4116 282
21732 32237 308
7348 14345 276
30690 18732 308
8712 30699 308
3541 29774 308
23481 28180 308
12476 22499 279
15467 25336 282
9838 10465 255
7630 5578 262
8383 12091 268
9769 31720 308
22936 13792 279
10876 21843 279
2252 15056 276
31622 25083 308
23355 8951 279
21332 23678 282
7484 28142 308
23480 11951 279
9008 23430 279
23453 21761 269
