==32856== Memcheck, a memory error detector
==32856== Copyright (C) 2002-2013, and GNU GPL'd, by Julian Seward et al.
==32856== Using Valgrind-3.9.0 and LibVEX; rerun with -h for copyright info
==32856== Command: ./RunCollatz
==32856== 
==32856== WARNING: Support on MacOS 10.8/10.9 is experimental and mostly broken.
==32856== WARNING: Expect incorrect results, assertions and crashes.
==32856== WARNING: In particular, Memcheck on 32-bit programs will fail to
==32856== WARNING: detect any errors associated with heap-allocated data.
==32856== 
--32856-- ./RunCollatz:
--32856-- dSYM directory is missing; consider using --dsymutil=yes
959519 419204 525
419550 873512 525
182123 840328 525
912511 955570 476
169657 904297 525
771807 592545 468
503295 918522 525
922133 49951 525
147461 191909 383
268168 133903 443
824192 565303 468
918944 516793 525
563365 796482 468
472631 572367 470
235433 457997 449
318785 966129 525
571331 585095 434
122205 381508 443
21034 874493 525
172583 766223 470
984449 607823 525
981990 486870 525
986475 444225 525
297482 60407 443
753726 224631 470
608372 554806 434
467557 91929 449
16326 143817 375
592087 32563 470
715288 309156 470
740028 772226 468
263150 608734 470
742468 232176 470
88130 954502 525
433897 43824 449
479618 232947 449
182613 711270 470
157365 953356 525
324856 794728 470
739042 638852 442
48870 415660 449
367983 466045 449
393592 959714 525
527859 41735 470
369767 452678 449
447755 289481 449
777857 514751 468
779642 978350 525
885223 498067 525
8445 519184 470
516310 470893 470
723172 553715 447
243054 44296 443
11588 781161 470
535221 219009 470
561387 771750 468
303611 471755 449
256671 65087 443
692011 343337 470
202704 125773 383
702899 744233 424
316630 716405 470
287906 804677 470
206835 60858 383
518848 85323 470
356069 104509 443
437934 792712 470
413383 607052 470
33342 75726 340
394053 27906 443
86784 925710 525
370983 27137 443
532271 576251 452
383752 49096 443
488835 93255 449
743521 305830 470
843503 475667 525
490996 203348 449
556991 859181 525
1887 210600 383
987357 80418 525
359353 358590 348
816354 685741 468
72041 167252 383
946807 295258 525
401548 997057 525
727307 202435 470
389007 547844 470
676302 537942 452
182331 395053 443
212467 817850 470
756298 385879 470
404188 208492 443
132939 983003 525
5046 859948 525
254040 817415 470
203449 288103 443
783137 457213 470
834225 347610 470
89515 934572 525
259217 67494 443
936999 878301 476
512321 790715 468
335699 554614 470
873134 762440 525
236646 669547 470
592182 906473 525
352894 177129 443
228197 320619 443
427694 916939 525
312844 885842 525
818972 202707 470
804598 699160 468
886520 263554 525
951001 278255 525
640259 908074 525
916067 542245 525
275386 33947 443
639753 404210 470
635043 316006 470
562896 957653 525
701135 25949 470
362094 680443 470
665241 266382 470
770695 41430 470
623841 333343 470
372997 22548 443
393263 202784 443
591342 795593 468
314710 495904 449
71280 610966 470
30928 313128 443
256140 707951 470
731707 84706 470
333534 932161 525
295944 493455 449
558295 333 470
183571 307772 443
978463 704940 525
142458 744168 470
123497 239015 443
947347 713795 525
463547 694472 470
899151 518324 525
82722 895335 525
93676 465165 449
899434 160972 525
294768 342369 384
121474 103635 354
929633 895459 476
469710 828742 470
349274 98088 443
28238 657349 470
394960 538058 470
22226 737942 470
521931 61469 470
264101 857946 525
881905 361063 525
349803 347654 366
699453 267703 470
550771 767034 447
32688 833458 470
771774 285954 470
569372 715897 447
866826 743735 525
248028 781228 470
686224 174160 470
112873 638677 470
774259 205456 470
47952 442978 449
951882 183979 525
492737 935467 525
368657 556610 470
776423 525857 468
657729 912219 525
939585 908549 476
911599 217627 525
531881 318837 470
713495 482715 470
178039 307270 443
313382 376086 441
825754 822933 375
304274 887157 525
531719 109669 470
641848 397867 470
160064 325356 443
190532 400408 443
349262 255226 441
532262 314405 470
864375 238043 525
989054 713241 525
208649 376936 443
468313 691804 470
741042 305159 470
838695 711025 525
123378 134565 344
804185 351050 470
355036 788277 470
784594 860002 525
488725 576834 470
758713 428604 470
184073 452446 449
153034 971676 525
886573 403369 525
432449 552924 470
623412 121109 470
300069 627545 470
839088 680151 525
927508 254903 525
183863 26214 383
988288 140587 525
983282 793758 525
528921 372847 470
871761 805459 525
785820 24257 470
214486 498573 449
390035 960205 525
308720 412690 449
353568 495917 449
773956 236353 470
552188 537589 452
411390 746309 470
141343 167011 383
326524 381909 441
67606 767166 470
478992 619200 470
291120 288422 389
310818 871546 525
680587 129029 470
430909 694077 470
72319 843256 525
215492 555180 470
510843 989173 525
439004 971655 525
570823 306202 470
194111 232246 443
537559 421239 470
811133 180100 470
146411 950011 525
893232 918146 476
159796 329065 443
607476 731986 447
336060 788888 470
295699 135890 443
438832 456109 387
779811 936803 525
106352 64996 354
345204 702893 470
476630 27409 449
283405 455089 449
745232 94480 470
261879 462276 449
95379 501835 449
270828 905797 525
781675 500749 470
304197 84454 443
914728 455304 525
296478 273591 389
582490 618840 447
387243 868632 525
990892 316900 525
835905 265325 470
743279 956311 525
375530 307260 441
103910 522740 470
602892 2153 470
913713 152615 525
14885 678216 470
437400 421242 418
153644 326508 443
138654 865381 525
832540 999979 525
303320 850282 525
119038 621611 470
117490 182471 383
519847 929471 525
456682 630173 470
498720 227339 449
785375 261445 470
937669 72531 525
660575 912960 525
372485 573771 470
594669 867280 525
976976 793210 525
253897 335083 407
285215 354942 441
825489 7257 470
817497 814018 357
161281 85167 383
223503 44712 386
228501 686880 470
919521 176143 525
135517 288937 443
953057 802356 525
492375 649431 470
875072 405924 525
960717 742956 525
106120 548400 470
515889 398104 470
901654 928059 476
514225 23207 470
381594 40346 443
13923 680259 470
629425 995810 525
797551 257692 470
925711 368764 525
54629 222029 386
888810 922793 476
682928 553066 447
692530 893513 525
237490 822740 470
910543 270964 525
932043 656892 525
567484 441964 470
702254 65391 470
210097 392845 443
573644 233552 470
58387 53956 322
337067 837266 470
546019 312849 470
70295 43762 340
498047 586177 470
384806 25309 443
166135 455009 449
744870 367250 470
541501 575662 452
920035 210809 525
387481 848277 525
646472 45707 470
590555 583911 372
533907 359167 470
215706 386895 443
