==32158== Memcheck, a memory error detector
==32158== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==32158== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==32158== Command: RunCollatz
==32158== 
30886 9383 308
36915 2777 324
38335 7793 324
60492 5386 340
41421 6649 324
90027 2362 351
20059 8690 279
13926 7763 276
83426 540 351
55736 9172 340
95368 5211 351
56429 2567 340
21530 5782 279
65123 2862 340
3135 4067 238
79802 3929 351
23058 4022 279
98167 3069 351
18456 1393 279
78042 5011 351
77373 6229 351
44919 4421 324
98537 3784 351
94324 5198 351
64370 8315 340
3526 6413 262
68980 6091 340
41873 9956 324
99170 6862 351
97281 6996 351
20925 2305 279
36327 7084 324
26505 336 282
21729 846 279
25857 1313 282
53895 6124 340
545 9582 262
33367 8814 308
90364 5434 351
13750 4043 276
26808 1087 308
47178 7276 324
93584 5788 351
2651 5403 238
12399 2754 268
95060 9932 351
93368 9676 351
10012 7739 260
98586 6226 351
97539 8094 351
80570 795 351
60378 1434 340
66601 7467 340
12902 97 268
70492 3317 340
60756 6652 340
60280 7301 340
9441 4286 262
29689 3865 308
46619 8444 324
44729 8440 324
8117 8031 190
5771 8097 262
90675 4481 351
98927 709 351
77856 4567 351
72353 9497 340
76965 4586 340
64683 5306 340
28624 6219 308
32871 1528 308
48829 5732 324
30019 9503 308
63368 8270 340
86715 9708 351
18149 6340 279
723 7796 262
2245 2618 209
93451 2846 351
43555 2921 324
97488 2379 351
88228 7764 351
92350 9841 351
41500 5193 324
87764 7034 351
24914 124 282
75856 6987 340
46491 3743 324
48365 2227 324
81936 9859 351
52551 1432 340
99228 6437 351
75407 3275 340
76121 1474 340
94395 8858 351
61237 6029 340
73793 8235 340
94428 5818 351
31011 6143 308
39529 5928 324
22404 8776 279
55763 4443 340
54538 4613 340
36840 8606 324
44818 2904 324
70688 5128 340
67917 7369 340
66996 9917 340
87743 3324 351
12183 9470 268
95499 8490 351
6725 9772 260
55590 5644 340
68139 7505 340
69786 2954 340
38082 7669 324
88464 8542 351
39507 197 324
28804 9355 308
78611 6348 351
27828 3622 308
87343 9299 351
35568 5746 311
55422 4340 340
13810 3311 276
21801 7605 279
73730 5661 340
11305 4878 268
78736 9320 351
48626 9444 324
3465 8522 262
73416 6708 340
13258 8282 276
67637 2924 340
5624 2062 238
32036 2600 308
11899 3452 268
45550 9379 324
90071 7468 351
87131 973 351
84930 3881 351
45894 8933 324
70163 8660 340
87981 7199 351
52996 8899 340
13773 2959 276
39668 2813 324
81095 7190 351
16466 2926 276
11340 5084 268
27684 2090 308
55542 3376 340
79107 5936 351
19756 7445 279
18418 9179 279
89412 6887 351
32172 3348 308
62009 1659 340
25210 2336 282
67587 6342 340
19301 8206 279
67372 7713 340
1255 5321 238
44599 4819 324
29904 7721 308
39811 5939 324
15667 3940 276
46228 1705 324
29150 1127 308
96658 5984 351
89224 3920 351
67269 2422 340
54081 1396 340
40084 5630 324
11972 9292 268
73850 7672 340
5385 7625 262
39299 1222 324
6042 6640 262
40713 3898 324
56190 2298 340
42590 524 324
8581 8209 234
99336 8819 351
71155 7732 340
18004 5994 279
14769 379 276
81776 5273 351
47255 8850 324
48142 1860 324
45884 5579 324
23205 1993 279
79567 7621 351
90613 2504 351
62754 1961 340
54259 1326 340
28202 8944 308
23506 3202 279
2021 6784 262
90868 2842 351
35189 9528 311
49908 8872 324
10498 9958 255
18808 8036 279
86248 7753 351
33333 3303 308
21648 2133 279
99754 2890 351
51746 7567 324
19529 368 279
38046 4500 324
49797 3788 324
86990 6249 351
3033 3303 199
12497 5363 268
94892 253 351
19125 7686 279
13996 1152 276
9188 5975 262
3729 9157 262
32460 5436 308
43921 3414 324
26304 460 282
88027 28 351
66748 8050 340
8902 7556 252
97697 4794 351
71043 8699 340
32002 1039 308
6403 428 262
681 4500 238
8538 7647 252
95151 6159 351
82134 2535 351
71692 4339 340
16127 2215 276
55629 504 340
90964 49 351
36429 8285 324
76335 5343 340
2900 3177 217
7971 5238 262
60289 6949 340
17988 5367 279
85795 2292 351
53144 743 340
58390 2829 340
55340 1682 340
569 3541 217
74232 3826 340
56042 2261 340
9117 360 262
66761 8023 340
26309 81 282
95425 3190 351
6367 8996 257
4234 4677 215
31626 690 308
26057 4524 282
73168 9614 340
90358 8205 351
47386 6312 324
4346 5100 215
34994 2726 311
56552 4916 340
93529 5578 351
32290 8946 308
56970 2647 340
19080 9051 279
18593 9631 279
18627 857 279
61886 1312 340
88355 9214 351
20090 3512 279
59479 4412 340
58969 9610 340
52274 6189 324
47641 6355 324
25433 6620 282
77888 8987 351
24566 8338 282
27284 7770 308
90417 6856 351
72260 606 340
237 5849 238
73059 7205 340
48518 5217 324
90783 4945 351
28458 6873 308
67637 873 340
20483 4289 279
70478 6607 340
49314 2757 324
45729 4471 324
33459 1100 308
89438 3618 351
11388 8025 268
31233 3074 308
33681 8157 308
60358 3493 340
10699 270 262
1839 3417 217
68363 5569 340
28794 2622 308
19847 3173 279
17462 6431 276
39390 6682 324
45791 4292 324
55115 5057 340
96157 1521 351
31491 8574 308
62951 1947 340
35021 9231 311
