==17648== Memcheck, a memory error detector
==17648== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==17648== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==17648== Command: RunCollatz
==17648== 
664 478 145
268 153 128
997 500 179
903 991 174
253 762 171
868 590 171
682 842 171
409 707 171
351 87 144
496 565 137
485 251 144
114 564 144
413 584 142
22 863 171
307 388 144
585 545 137
417 972 179
192 572 144
565 415 142
178 814 171
405 537 142
380 765 171
193 806 171
893 509 179
75 263 128
514 110 144
674 280 145
864 629 171
212 806 171
913 886 148
432 519 142
492 500 111
791 569 171
984 403 179
218 76 125
333 882 179
648 342 142
150 713 171
941 560 179
824 762 153
591 736 171
17 339 144
687 266 145
74 600 144
487 899 179
420 987 179
207 638 144
208 631 144
36 718 171
794 912 179
514 972 179
316 128 131
561 881 179
443 185 144
666 222 145
677 268 145
326 259 131
244 413 144
14 15 18
914 37 179
744 220 171
859 54 171
686 951 179
389 786 171
418 441 116
133 903 179
750 932 179
815 168 171
353 31 144
254 977 179
246 739 171
998 650 179
65 291 128
306 243 123
281 79 128
300 940 179
713 744 140
415 878 179
384 119 144
560 805 171
709 803 153
455 413 134
581 460 142
211 271 128
967 935 174
394 465 134
116 932 179
225 393 144
355 899 179
979 531 179
191 355 144
100 998 179
596 905 179
25 516 144
322 980 179
784 305 171
718 750 140
929 959 174
231 300 128
954 141 179
325 200 131
133 349 144
461 161 144
61 77 116
328 817 171
891 759 179
477 519 142
144 992 179
228 74 125
56 888 179
194 269 128
20 559 144
519 631 137
650 668 145
529 470 142
389 606 142
674 573 145
453 241 144
319 855 171
392 515 142
993 647 179
885 284 179
995 472 179
265 31 128
919 224 179
493 321 144
600 832 171
464 232 144
620 120 144
309 115 128
440 150 144
442 698 145
659 834 171
690 896 179
131 978 179
345 801 171
86 125 119
316 231 131
980 83 179
26 582 144
622 900 179
452 520 142
471 223 144
344 916 179
751 92 171
960 372 179
72 910 179
745 404 171
20 731 171
429 155 144
956 151 179
276 774 171
724 762 140
564 312 144
894 706 179
326 590 144
829 517 171
741 498 171
134 302 128
113 804 171
177 885 179
516 793 171
916 967 174
418 980 179
137 936 179
88 847 171
341 812 171
294 83 128
395 785 171
211 858 171
169 9 122
527 256 144
754 998 179
20 987 179
792 889 179
494 134 144
927 688 179
376 11 144
992 844 179
500 794 171
362 848 171
380 588 142
390 422 134
208 675 145
253 786 171
514 419 142
395 422 134
422 42 144
748 150 171
40 442 144
295 260 123
949 535 179
265 941 179
505 326 144
839 976 179
825 6 171
313 202 131
344 925 179
601 704 171
210 552 144
691 573 145
996 724 179
486 87 144
237 138 128
299 235 128
496 996 179
251 595 144
537 165 144
210 235 128
213 44 125
768 50 171
971 39 179
964 83 179
787 316 171
587 285 144
859 716 153
441 279 144
85 575 144
713 646 171
882 42 179
39 13 112
327 98 144
263 9 128
244 584 144
347 473 134
242 457 144
216 116 125
199 214 120
530 899 179
186 705 171
422 119 144
117 764 171
59 583 144
230 203 115
245 772 171
504 831 171
929 3 179
12 832 171
136 911 179
385 974 179
433 483 129
599 628 132
561 368 142
268 518 144
224 93 125
930 173 179
937 366 179
668 48 145
969 996 143
488 617 142
450 215 144
936 993 174
545 99 144
12 948 179
924 681 179
165 116 122
744 77 171
445 483 129
2 307 128
119 713 171
887 945 174
31 50 110
816 544 171
261 699 145
317 787 171
721 468 171
181 486 144
586 659 145
327 726 171
127 317 131
433 970 179
766 11 171
214 897 179
923 212 179
645 216 144
880 761 179
530 252 144
515 911 179
330 347 126
853 495 171
964 367 179
853 295 171
954 146 179
592 159 144
476 1 144
691 438 145
450 629 142
246 458 144
671 664 145
599 170 144
931 36 179
288 481 144
112 462 144
528 522 124
19 162 122
529 383 142
678 983 179
848 102 171
262 352 144
72 441 144
880 457 179
805 763 153
223 50 125
433 52 144
940 613 179
649 33 145
233 591 144
772 656 171
897 65 179
227 302 128
404 916 179
619 475 142
577 801 171
872 188 179
629 558 132
17 944 179
709 229 171
997 541 179
594 651 145
265 431 144
184 254 128
846 633 171
9 417 144
201 619 144
640 906 179
543 428 142
903 45 179
565 881 179
70 201 125
759 438 171
103 419 144
367 776 171
38 531 144
183 366 144
516 632 137
605 167 144
519 700 145
837 452 171
73 247 128
872 39 179
187 432 144
478 416 134
299 809 171
11 762 171
202 88 125
507 771 171
267 305 118
555 875 179
242 305 123
656 738 171
624 758 171
179 263 128
434 144 144
110 17 119
774 226 171
659 982 179
119 961 179
772 138 171
900 137 179
225 502 144
992 821 179
845 733 153
609 261 144
285 401 144
858 570 171
48 661 145
643 483 142
346 227 144
962 78 179
305 456 144
440 738 171
419 964 179
821 559 171
696 910 179
414 441 134
264 640 144
374 407 121
387 828 171
231 702 145
991 392 179
54 808 171
293 41 128
986 697 179
775 639 171
815 669 171
127 799 171
764 974 179
534 546 137
458 586 142
747 949 179
590 591 57
717 12 171
559 684 145
387 106 144
498 509 111
319 380 144
140 271 128
687 612 145
970 845 179
515 463 142
42844 291187 443
83074 694458 509
16537 749750 509
95475 886105 525
87055 517245 470
46933 203387 383
76717 369473 443
71449 899807 525
51633 181905 383
12595 89476 351
40334 5246 324
69267 702861 509
22391 466118 449
109801 723140 509
36937 176212 383
92715 515030 470
57027 635337 509
10404 134438 354
20545 962452 525
35254 175639 383
45693 177360 383
102389 485280 449
10405 414392 449
40742 576932 470
110853 798464 509
25933 567542 470
48182 776503 509
20400 761867 509
110324 806999 509
52972 907978 525
89676 702816 509
4821 479021 449
16553 660908 509
67806 751651 509
38402 662413 509
20646 617265 470
102546 820521 509
12693 900812 525
103061 516044 470
92288 345417 443
93831 172564 383
60179 118221 354
60960 697568 509
60125 705894 509
58318 393506 443
96324 1986 351
106323 551087 470
100885 948682 525
33669 637081 509
77273 349563 443
36589 141831 354
73465 653474 509
68493 97784 351
58274 711473 509
15540 574647 470
39194 928339 525
5210 998260 525
98923 724688 509
97250 955059 525
15233 228808 386
78333 558661 470
109750 959094 525
18890 740211 509
2609 835950 509
33052 122319 354
577 705198 509
95100 180752 383
56315 254913 443
77498 455575 449
30224 406571 443
1578 51688 324
49949 805844 509
86090 409881 443
31608 259983 443
44348 961117 525
75336 227713 386
34346 747996 509
2413 143735 375
49446 122996 354
23093 893911 525
43555 193610 383
110789 537875 470
15011 471988 449
108436 167104 383
87880 759176 509
102847 471993 449
55616 936995 525
13545 375018 443
38095 322577 443
61474 711819 509
9293 152203 375
11311 317681 443
86732 154751 375
55525 902613 525
18748 469511 449
107566 37268 354
19588 909840 525
7145 65894 340
10776 367932 443
85758 337803 443
101779 320879 443
35653 966382 525
77828 116045 354
105289 118958 354
11650 4813 268
4554 236523 443
