==31400== Memcheck, a memory error detector
==31400== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==31400== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==31400== Command: RunCollatz
==31400== 
348779 422440 449
7012 1139 262
931433 245853 525
863181 425342 525
200605 686304 470
986075 809598 525
959002 381768 525
885098 393762 525
544633 338023 470
67424 847427 525
913566 539504 525
977138 426755 525
15551 1318 276
460180 717900 470
819458 298074 470
341856 781524 470
327849 367716 441
647326 332842 470
978878 84860 525
609752 135425 470
205706 600127 470
6758 522816 470
754495 405754 470
170291 854225 525
233437 685060 470
750043 391029 470
997454 614686 525
289268 616895 470
528899 366749 470
237629 563165 470
716537 978921 525
502375 808907 470
506587 337043 449
354679 670526 470
707223 436916 470
435211 636298 470
166356 671288 470
102810 851819 525
994936 755296 525
793296 12651 470
709060 742365 424
951771 267395 525
167160 560951 470
641229 780783 468
860490 652123 525
199096 525035 470
197107 379987 443
572996 749979 447
42794 590348 470
249960 82976 443
378789 683929 470
984004 363858 525
59728 341261 443
57876 461289 449
961976 631882 525
998057 696873 525
82641 994983 525
689475 874164 525
629855 556617 447
468066 979634 525
595377 58862 470
140706 389342 443
462326 349308 449
605127 19004 470
48096 582429 470
101522 815050 470
71120 849671 525
564247 320809 470
474899 838691 525
950328 92820 525
600368 138622 470
587229 158879 470
320784 941596 525
158549 893355 525
577324 175410 470
38883 185805 383
60527 295612 443
904099 853041 432
817688 893766 525
99839 905287 525
298578 860134 525
409092 216542 443
321739 786527 470
480388 574720 470
889215 759967 525
217902 867175 525
71438 683516 470
420914 674236 470
964752 712328 525
358522 294991 441
660689 814715 468
319643 417269 449
851855 321912 525
360330 991226 525
738285 657812 442
143376 266415 443
958791 508427 525
910615 584935 525
820624 633731 468
958592 552166 525
954327 571533 525
900369 583976 525
229978 273907 443
161118 702008 470
855600 667708 525
917138 686907 525
312496 803488 470
324780 955797 525
827325 180622 470
540263 250289 470
217434 237696 443
907180 798608 525
135504 521919 470
768066 714291 468
358183 634339 470
360561 457338 449
975591 560922 525
557506 467728 470
744419 861651 525
108013 252619 443
