==17160== Memcheck, a memory error detector
==17160== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==17160== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==17160== Command: RunCollatz
==17160== 
6236 20461 279
16940 23698 282
13854 15570 271
4738 22528 279
19997 23455 269
12826 20052 279
4460 23661 282
4386 14922 276
11008 16112 276
8162 10078 260
16359 24101 282
19740 20251 274
8569 23375 279
8099 16870 276
5204 12001 268
15183 20184 279
6517 7249 257
17707 26464 282
11345 27676 308
5660 15558 276
11641 27265 308
15866 28996 308
16675 28384 308
13973 17784 279
19997 26666 308
15532 15603 222
1546 7357 262
705 24761 282
1143 4845 238
14509 27836 308
7148 24321 282
4715 27357 308
2758 27948 308
1577 29943 308
3287 19679 279
4499 20484 279
19727 25691 282
17095 17160 235
7433 11496 268
459 4973 238
13683 22269 279
10448 16358 276
6009 6335 262
10703 18970 279
17425 29794 308
5599 26850 308
2146 20037 279
6053 9402 262
13300 15356 271
12517 26127 282
1127 2187 182
14112 20570 279
3705 20156 279
8192 17918 279
10463 17881 279
17741 18272 248
1366 9237 262
341 450 134
12223 17713 279
13507 15692 271
17437 20384 279
7506 12082 268
1103 18311 279
4390 22508 279
14438 18457 279
1414 2290 183
5864 20518 279
14857 27359 308
2126 3702 217
19840 29378 308
9528 16591 276
2363 8996 262
19563 28925 308
11637 14036 276
67 29505 308
16240 16803 266
16812 23488 279
14956 20007 279
10808 11357 268
13504 22245 279
18496 20852 274
16316 24336 282
2398 17066 276
9677 28172 308
5393 27401 308
13327 20876 279
19257 24462 282
1791 19034 279
17319 26552 282
18393 20415 274
6288 9615 260
1232 16470 276
4468 19421 279
5541 11398 268
2052 20419 279
13554 13712 183
7537 17241 276
5744 18749 279
18641 20918 274
4410 16903 276
18085 22611 274
15370 26769 308
7466 22416 279
6814 19652 279
1711 7476 262
3460 26245 282
8056 10092 260
9818 26771 308
1482 18395 279
6778 11528 268
6662 28777 308
17599 22699 279
14174 26119 282
2958 20471 279
557 25709 282
16355 20161 279
3285 27317 308
10318 25897 282
8819 26112 282
19120 28198 308
13568 21597 279
12140 24883 282
6557 23496 279
5981 19200 279
12216 25917 282
7359 19881 279
19547 25536 282
8454 28411 308
12117 19319 279
7092 24618 282
8650 21683 279
1466 23017 279
10188 17064 276
13181 13725 276
16141 24408 282
8739 27417 308
819 25213 282
16144 29870 308
7605 29434 308
3041 21276 279
16303 25916 282
1604 18369 279
7798 10267 260
1579 5983 238
5490 26933 308
11059 13318 276
8582 22354 279
19844 28911 308
4421 15704 276
1176 22154 279
16446 23305 279
18522 22874 274
17349 19803 279
14987 27798 308
14088 27013 308
11122 15547 276
16923 27403 308
17740 27402 308
15987 21893 279
4265 27209 308
5737 16821 276
13742 22168 279
14958 25265 282
12591 13137 232
4239 12739 268
8129 27720 308
17073 17989 279
4715 13679 276
17814 19961 274
14363 15056 271
6731 13538 276
2126 29155 308
6915 10140 260
2835 21521 279
19523 27802 308
12670 13022 201
7684 29814 308
19408 24249 282
18578 26800 308
13737 19860 279
9995 12655 268
13390 25621 282
16409 17576 266
15281 25443 282
22 12502 268
16377 26120 282
995 11917 268
12758 17870 279
6182 22015 279
398 5011 238
2851 22572 279
5970 20626 279
10541 14032 276
3112 26747 308
4796 16085 276
11168 16312 276
19437 23467 274
19535 23542 282
17900 27112 308
481 982 179
3754 22916 279
15760 24498 282
11472 21557 279
3854 9674 262
2792 6781 262
16364 20707 279
17717 18714 261
