==4650== Memcheck, a memory error detector
==4650== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==4650== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==4650== Command: RunCollatz
==4650== 
74603 48558 340
96307 92894 328
61277 28883 340
97293 38465 351
67187 58764 335
14005 68075 340
4946 53244 340
2590 78681 351
69769 31997 340
58773 34922 340
81253 30954 351
25834 86356 351
99975 73860 351
14543 14990 271
51783 56024 340
54728 72550 335
11521 21051 279
95675 5275 351
60089 25850 340
86679 42717 351
22079 42450 324
16362 35793 324
55779 68753 335
68783 77896 351
66635 36973 340
214 28416 308
19464 92846 351
86221 72303 351
90010 56506 351
36590 50172 314
79000 21280 351
60990 59849 335
44822 67734 340
99490 30783 351
56562 6445 340
41108 60928 340
89974 81413 333
30300 91550 351
67313 58721 335
71006 37823 340
39715 2248 324
40332 9213 324
93373 65944 351
1313 17360 276
44477 14226 324
7740 96380 351
83656 89380 333
79475 23901 351
96356 15605 351
13633 78644 351
74479 864 340
83694 95738 333
6064 92166 351
45323 72037 340
14524 7608 276
49547 9395 324
68092 13655 340
64786 35607 340
11892 62583 340
54141 89075 351
98972 30986 351
17476 45527 324
55190 53843 260
56728 13129 340
26621 75333 340
28506 70496 340
66708 32376 340
92674 35461 351
24457 46352 324
81606 3993 351
19971 25011 282
94384 74349 351
27311 69361 340
65640 86209 351
81564 45463 351
74905 4236 340
20363 47315 324
17127 5796 276
47436 80189 351
34417 13418 311
92509 58569 351
4767 10915 262
95621 16750 351
74146 7456 340
52571 87393 351
94915 30452 351
66239 66327 193
31669 82682 351
67542 54092 335
13546 12573 276
10549 47965 324
90286 37448 351
21008 73782 340
25425 59608 340
48145 65912 340
12291 20290 279
21673 74827 340
70297 14221 340
96771 24795 351
28588 51908 324
22072 43806 324
10963 11632 268
698 79134 351
13495 94579 351
1532 86731 351
2497 27110 308
53103 48130 340
52243 87675 351
67088 89023 351
86055 74666 351
25192 52240 324
61885 95782 351
95584 58103 351
35782 186 324
78229 71497 351
61669 48620 340
95029 84873 333
27973 76827 340
45116 82632 351
72754 349 340
43140 4345 324
8133 49324 324
78564 59072 351
81663 37210 351
71484 87664 351
73900 64543 325
65342 79976 351
74344 28265 340
17035 54869 340
64336 91121 351
94732 51625 351
14774 18782 279
40772 24236 324
37323 16773 324
45600 61540 340
31267 76509 340
82015 67434 351
96637 38709 351
92467 58841 351
2702 21199 279
80501 12543 351
16713 56327 340
35220 57776 340
14106 81049 351
78423 38951 351
18843 21250 274
44547 24937 324
9350 10461 255
96428 28913 351
69571 49014 340
89855 69318 351
50122 93064 351
7441 10769 260
7963 81744 351
36637 54795 340
43761 7710 324
9617 7380 260
18570 62068 340
66058 66791 268
85002 64912 351
92226 72915 351
937 96696 351
79627 88115 333
87296 31283 351
77703 26391 351
27672 9876 308
67748 31327 340
2822 88333 351
75560 35301 340
14326 17223 271
94344 98259 328
22891 83994 351
64615 28914 340
91945 54281 351
37589 6174 324
30378 53099 340
61725 7839 340
95521 89413 333
805 42288 324
79550 19349 351
33923 11991 308
53630 55952 260
27807 62689 340
438 5664 238
34004 47775 324
12547 75847 340
9113 40714 324
43207 42235 288
29740 44356 324
36965 62707 340
196 32721 308
68387 22728 340
94216 43748 351
85928 32077 351
13512 7475 276
97156 35995 351
24841 94265 351
46517 42778 314
51526 63398 340
7457 10263 260
63103 47687 340
82184 73342 351
5375 30107 308
47055 81114 351
58903 22008 340
43570 63265 340
18426 4813 279
25932 83653 351
2968 68180 340
83028 28065 351
67736 71911 325
30512 29149 272
64109 75829 325
49681 53984 340
38192 60244 340
9081 81841 351
49387 52096 309
82904 82806 227
67095 74164 325
49866 10236 324
72726 64082 325
73222 22435 340
48009 29701 324
65348 15807 340
40073 4080 324
94080 89025 333
60788 50635 340
86155 25512 351
82743 31198 351
38004 11875 324
15434 83332 351
76229 56493 335
99869 75394 351
17454 73568 340
84987 62696 351
36686 51361 314
81586 4157 351
64406 81441 351
83294 46652 351
47343 52300 309
14591 649 276
57858 14491 340
74590 8826 340
77735 62201 351
99744 63741 351
90755 81568 333
42591 36861 306
78587 78198 307
46356 97406 351
57842 33325 340
45089 58865 340
83699 48729 351
18394 41175 324
25034 7880 282
82477 35088 351
71254 76927 325
59083 35236 340
24725 61113 340
61495 92140 351
79032 29456 351
23555 15677 282
73026 52503 340
60706 30989 340
89407 17457 351
72096 19307 340
97496 50652 351
9662 62839 340
11673 63934 340
58797 25165 340
92157 84899 333
68352 9075 340
73719 24450 340
66701 40553 340
64180 83750 351
43675 8577 324
79241 45062 351
5006 92066 351
27628 32710 285
66084 46344 340
98661 75369 351
39397 14637 324
22857 11121 279
64786 53615 335
10565 21484 279
44060 70857 340
59989 6263 340
91526 45895 351
8656 45378 324
34773 7656 311
10885 86078 351
11425 65008 340
99679 86791 333
45682 30426 324
84053 93333 333
63338 39903 340
32641 46804 324
26094 70326 340
91318 75999 351
79860 86633 320
99011 69841 351
39184 82324 351
90901 8430 351
81582 78344 338
39866 11322 324
33252 51190 324
68662 36484 340
57045 73542 335
88118 43676 351
4964 82830 351
53856 47524 340
25632 31390 308
48015 69220 340
15935 24653 282
28192 31083 272
13275 73416 340
99669 58495 351
80897 95103 333
627 17828 279
73695 63109 330
12159 62970 340
21993 38205 324
30191 3431 308
70739 68981 312
42480 24239 324
643 95090 351
13041 91784 351
97356 196 351
25338 41246 324
37911 26634 324
30869 87435 351
84026 88297 333
79728 44955 351
61706 99223 351
9371 60102 340
3020 57068 340
6045 98519 351
89735 96143 333
70608 9752 340
95725 1245 351
32136 8602 308
86455 51784 351
27747 69814 340
57784 99607 351
37771 36038 306
760 86493 351
44369 14329 324
14920 5000 276
37158 40097 306
79306 11834 351
85722 53317 351
39976 93771 351
13200 70530 340
99348 74887 351
85215 82718 320
76894 5547 340
90419 61259 351
81937 96701 333
70167 30064 340
34654 41865 324
57178 90727 351
47387 9843 324
57287 7695 340
7622 88736 351
33776 34319 311
60712 38757 340
94542 46401 351
52873 89881 351
54449 10905 340
59245 7773 340
37466 92899 351
67483 57599 335
30431 92004 351
98183 46682 351
74600 45532 340
77477 27906 351
7413 85646 351
81235 84484 320
43192 90214 351
7118 45924 324
37236 40118 306
83557 14588 351
14841 10124 276
23234 30160 308
43283 56004 340
76899 77923 351
39047 27772 324
49661 43517 314
7398 13658 276
40179 82096 351
26082 41946 324
31824 68672 340
11071 6854 268
50564 36087 314
96945 38057 351
71599 89593 351
60278 30449 340
19858 11615 279
66157 94575 351
71459 84718 351
91837 57920 351
53318 62889 335
14018 91850 351
98317 27132 351
52319 80943 351
29898 551 308
92404 8196 351
76355 85972 351
89263 88606 315
25993 1096 282
7731 33730 308
10575 47506 324
35113 16868 311
59515 85984 351
85246 96340 333
84473 75246 351
83653 21278 351
13454 82341 351
16719 54392 340
70971 46895 340
96777 68660 351
86462 2751 351
8878 93951 351
23049 58224 340
13974 86057 351
92959 91737 302
23275 7751 279
43537 35668 306
51571 1884 324
44263 99020 351
30731 10396 308
53741 23484 340
14015 88443 351
89361 33134 351
54159 93349 351
58768 34522 340
29705 32623 285
5590 46210 324
50712 70992 340
22674 48041 324
11589 26999 308
70787 61710 330
69044 99121 351
67346 63493 299
5148 57389 340
53158 88839 351
16059 83248 351
82651 52254 351
86540 22757 351
43058 95166 351
60 63108 340
9181 61329 340
11902 44449 324
23725 79189 351
91208 22774 351
45738 8013 324
8350 56339 340
94598 29005 351
60888 11413 340
62806 86340 351
22481 92321 351
40149 92147 351
35870 671 324
61662 92148 351
4765 92694 351
59366 80315 351
82481 8476 351
95590 29216 351
10683 35797 324
60906 46413 340
19369 20920 274
98470 42407 351
83415 25993 351
5763 26625 308
14922 21459 279
79995 67323 351
92069 5416 351
16567 64170 340
20734 8318 279
15796 61297 340
2226 35985 324
39552 68502 340
66351 62135 330
18312 67788 340
55538 78038 351
28491 75058 340
17593 45869 324
90819 60764 351
15600 24153 282
53883 33295 340
56596 47913 340
42257 10599 324
71609 33220 340
16210 62455 340
70346 37031 340
93343 26234 351
10358 84707 351
36010 89486 351
83770 90513 333
19623 25885 282
17308 74952 340
28706 63814 340
4500 26395 282
87928 3178 351
80451 86130 320
32575 55670 340
49886 23565 324
45040 70949 340
96023 45479 351
73022 61305 330
70213 58458 335
18660 58151 340
75407 99136 351
36857 22267 324
90767 48370 351
45554 32608 324
13560 82619 351
71284 7498 340
43154 97575 351
2813 36639 324
94975 64290 351
21246 44919 324
91048 41118 351
67935 54120 335
25454 59268 340
58872 1638 340
39077 72428 340
24493 80936 351
92080 4283 351
91489 76449 351
74440 18176 340
73109 10199 340
17892 53937 340
60820 61970 335
7017 42468 324
15003 6594 276
52120 27765 324
67177 16288 340
8384 57305 340
60028 58934 304
48523 86525 351
61936 46893 340
63637 23639 340
82352 79321 320
41078 10004 324
91778 64933 351
43954 44548 270
35460 13166 311
14402 73674 340
43425 9746 324
65058 6628 340
87711 61488 351
78500 95924 338
40396 15680 324
99047 32916 351
81823 47426 351
89923 66230 351
12021 52042 324
65315 85882 351
2397 41931 324
52556 10238 340
50619 16801 324
91455 96478 333
85609 8807 351
11725 48644 324
1703 98934 351
51254 11714 324
47535 49899 296
47760 53586 340
92789 59526 351
19583 60166 340
90969 68183 351
34956 77266 351
75128 49201 340
49912 5914 324
3029 81285 351
87611 28467 351
22323 76411 340
68734 76096 325
32902 7972 308
60982 87138 351
10346 8949 260
33696 22034 308
72889 80811 351
66241 45302 340
50080 19124 324
77528 62680 351
94392 21218 351
61213 83670 351
68427 88552 351
94869 3051 351
15480 26838 308
15787 91523 351
81879 42168 351
86400 35254 351
71094 21149 340
33038 52088 324
30400 96456 351
35403 86322 351
68500 67152 312
66450 97859 351
34682 16549 311
55133 30787 340
55253 22673 340
41254 32525 324
2654 83064 351
97032 19704 351
13100 16488 276
42110 47629 314
24661 42838 324
57723 11519 340
21022 72773 340
46566 97791 351
28608 9910 308
44938 66980 340
53278 14707 340
95768 36968 351
58893 46448 340
4061 5708 236
79527 75861 351
68193 90205 351
93990 45656 351
32323 5133 308
57149 89100 351
63179 30138 340
84280 1664 351
83158 5261 351
8647 20887 279
41170 65433 340
39191 12265 324
27071 80256 351
38109 2545 324
42161 56998 340
6055 18236 279
41790 13000 324
92545 84536 333
67113 6567 340
79402 67167 351
94886 23263 351
62648 83597 351
35052 70682 340
98313 57850 351
88122 6174 351
44437 99407 351
76154 87711 351
8620 47484 324
78936 77383 338
47641 63275 340
30739 50906 324
18613 32723 308
50257 47108 314
5178 59274 340
27030 72474 340
22840 47931 324
60007 38203 340
63197 50603 340
48881 18295 324
99057 21136 351
48627 31610 324
23140 3762 279
20333 81825 351
36855 9215 324
21382 67806 340
93706 71104 351
78443 50719 351
33418 5907 308
65142 96414 351
20895 72339 340
39508 1770 324
19087 61401 340
3951 38350 324
95413 22441 351
98773 33723 351
55610 91197 351
49377 23858 324
46059 50839 314
25152 57187 340
1690 21673 279
4582 36352 324
13952 90045 351
76514 72766 325
80579 61358 351
60742 83896 351
56855 46175 340
93430 57343 351
49924 19592 324
73402 35600 340
49671 56457 340
42560 3010 324
71980 19900 340
88598 59505 351
41796 33410 324
37163 51122 314
95960 56327 351
24513 29702 308
27841 20241 308
63374 16272 340
63901 67357 299
97392 40598 351
38530 49009 314
73022 1686 340
98357 60654 351
23087 30585 308
64430 64015 299
33645 25863 308
47437 55221 340
96032 80158 333
81062 59844 351
75720 89036 351
74966 94379 351
54744 95521 351
60334 50808 340
72960 60818 335
50927 29595 324
94477 42064 351
69055 89216 351
69444 11374 340
20375 7927 279
84238 9710 351
67918 75828 325
18540 9360 279
19077 95545 351
86939 20368 351
51027 99365 351
46560 72894 340
47576 91095 351
78083 81477 338
65052 87161 351
2293 22987 279
58652 3397 340
68618 27455 340
60554 72495 335
89943 6258 351
43381 95572 351
50964 141 324
80245 65162 351
50124 58563 340
36201 57075 340
59126 50422 340
63127 55103 335
57996 28329 340
74593 58494 335
93134 66781 351
91277 46454 351
77358 83494 338
39727 21519 324
65460 33096 340
86667 4548 351
48271 75950 340
67877 9530 340
69900 35457 340
2598 78363 351
43110 46236 314
62758 86124 351
81115 69129 351
96174 69412 351
14444 87838 351
47160 17883 324
34744 69730 340
98254 40355 351
83487 55148 351
21553 67111 340
51844 19644 324
52227 77471 351
92600 54651 351
52972 44443 340
8372 57233 340
71017 67596 312
15979 97894 351
49109 17012 324
67631 2875 340
85057 28801 351
75958 66125 325
69002 34453 340
86303 97300 333
97925 45590 351
77681 95917 338
35198 62111 340
46517 66387 340
16686 30408 308
95377 50290 351
43012 1255 324
40600 7891 324
1860 10907 262
5491 99760 351
20932 84195 351
50472 93473 351
88942 85647 333
69683 43489 340
30313 56326 340
52571 92975 351
75328 89859 351
57292 56903 304
425 67848 340
57798 22472 340
68056 32872 340
97324 39029 351
47730 47718 221
96282 31798 351
79828 33047 351
89645 76238 351
92187 18154 351
85778 23190 351
17935 57617 340
27863 52059 324
83688 28438 351
73743 8317 340
29869 21686 308
67393 67806 312
88486 38633 351
81308 44064 351
85177 93609 333
53270 69450 335
85842 73534 351
56529 94012 351
722 99677 351
54654 7402 340
84423 3223 351
61351 25885 340
16521 21744 279
24512 29832 308
49380 25813 324
90765 30916 351
59851 28964 340
51286 45424 314
15582 61378 340
50924 34036 324
60936 76709 335
4220 8321 262
6355 96161 351
54684 3367 340
69334 87189 351
47167 73542 340
42874 68194 340
62486 25305 340
13858 51731 324
30254 41574 324
57829 75559 335
51331 70645 340
99748 57608 351
83794 598 351
78729 87543 338
92101 22441 351
45508 11822 324
98818 27100 351
60310 7227 340
25641 92929 351
94737 18033 351
76115 6290 340
77980 50688 351
14602 7220 276
14085 14847 271
37849 17030 324
81478 19910 351
72133 87844 351
59984 21229 340
27158 95623 351
11224 67765 340
62533 92636 351
10001 8038 260
50930 87354 351
3971 78063 351
96120 20923 351
93171 57382 351
88551 93567 333
42149 28187 324
57302 75729 335
90703 95154 333
12638 34162 308
45083 83493 351
73876 15191 340
37256 44290 306
19966 63087 340
49309 61734 340
71091 49599 340
40165 11078 324
59397 15155 340
69229 23818 340
59591 85373 351
98792 95710 297
72417 28702 340
80706 35288 351
14721 7365 276
38200 30161 324
53627 96518 351
72273 76979 325
643 84692 351
15754 61987 340
18444 6864 279
3974 16181 276
16784 66271 340
19731 70731 340
70213 40629 340
76538 61954 330
95651 91548 328
23234 41700 324
85812 72137 351
63951 87877 351
87409 28777 351
22876 74770 340
13094 30215 308
94620 46579 351
38962 87796 351
46522 21407 324
37750 81011 351
74336 62773 330
2907 93353 351
59819 34619 340
80223 92643 333
73545 4667 340
61070 68970 330
68560 97705 351
28763 14792 308
83530 72050 351
82828 27711 351
41782 12008 324
16817 81645 351
77987 52826 351
41673 14388 324
60983 20498 340
8934 22719 279
80875 98940 333
19209 25414 282
87693 98254 333
57355 32229 340
10493 26866 308
50124 75953 340
1490 29218 308
70025 91253 351
72189 2557 340
69653 77576 351
8132 37100 324
69112 10710 340
35294 96323 351
16994 87922 351
1056 91573 351
87241 81905 333
89214 815 351
36844 62476 340
95078 24491 351
99366 29483 351
42303 5384 324
49510 85403 351
36937 18096 324
60881 48438 340
49527 89180 351
48302 99286 351
9140 44345 324
78951 78550 338
59247 55806 322
46572 69814 340
