==16278== Memcheck, a memory error detector
==16278== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==16278== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==16278== Command: RunCollatz
==16278== 
945 922 174
524 927 179
145 753 171
149 693 145
51 270 128
211 550 144
509 826 171
554 279 144
622 506 137
74 374 144
938 910 174
866 149 171
295 109 128
979 723 179
774 973 179
999 260 179
827 644 171
732 6 171
388 160 144
366 719 171
464 476 129
189 627 144
485 59 144
454 115 144
803 364 171
138 826 171
386 265 144
873 456 179
217 596 144
671 519 145
815 594 171
839 544 171
552 799 171
782 261 171
726 118 171
538 52 144
23 386 144
286 913 179
545 778 171
759 159 171
619 968 179
846 552 171
828 513 171
611 596 132
322 959 179
661 533 145
900 241 179
835 399 171
772 781 153
492 699 145
311 692 145
296 759 171
297 563 144
29 819 171
254 138 128
867 949 179
780 315 171
255 522 144
166 517 144
404 522 142
262 703 171
926 178 179
578 930 179
462 853 171
156 848 171
138 166 117
429 129 144
992 820 179
453 396 134
846 541 171
684 564 145
234 919 179
22 763 171
530 733 171
837 210 171
888 177 179
96 990 179
63 559 144
973 355 179
269 206 128
944 647 179
724 306 171
304 70 128
696 476 145
566 309 144
297 8 128
724 150 171
489 368 142
727 169 171
10 431 144
627 968 179
114 409 144
597 560 119
335 10 144
20 110 119
580 886 179
768 380 171
600 804 171
675 130 145
542 960 179
1732 8046 262
3682 3805 238
6294 6491 200
5480 9357 262
4921 5883 236
5122 4688 210
2327 3274 217
8323 7330 252
3289 5475 238
9853 7539 260
9225 6302 257
7735 7641 177
6678 8632 257
8289 8088 190
1028 4518 238
7514 5454 262
6147 3200 238
9552 6363 260
9842 2493 262
8762 9052 247
1970 4709 238
3791 8361 262
8937 6840 257
2130 1899 175
4829 7418 262
4779 8862 262
2318 6346 262
3540 7617 262
1195 4079 238
6350 7211 257
6563 9152 257
1703 5243 238
1668 3315 217
2654 8763 262
4938 5408 192
6928 8749 257
7777 6314 257
2313 6502 262
5489 4888 210
9656 8177 260
4973 3541 238
7051 1248 262
7045 9127 252
9542 9726 198
5815 4405 236
9114 8830 247
9023 8010 247
9877 4962 262
7411 4139 262
8463 2093 262
3157 7673 262
5206 2030 238
7104 6940 257
4435 8662 262
2840 8293 262
7369 8095 252
5813 6043 218
5197 3706 238
5693 8730 262
5020 2524 238
6893 9309 260
3914 1409 238
8638 7504 252
4984 9642 262
2971 2280 217
7265 5550 262
5965 7900 262
8676 3908 262
7529 9766 260
3100 8975 262
1559 6921 262
2544 7966 262
8878 8575 216
5336 4892 210
1022 7929 262
9308 5398 262
3200 2360 217
4167 6661 262
8041 8864 234
3980 4800 215
4301 5545 215
2042 6734 262
2812 1817 209
4372 3181 238
6394 8999 257
2810 5976 238
7792 1207 262
6875 8398 257
9292 7497 260
7277 3422 262
9757 9557 198
6610 3427 262
6633 3036 262
9917 6445 260
1549 3860 238
9452 3049 262
6795 8437 257
6843 7453 257
9841 8274 260
1583 5335 238
9189 4747 262
6757 8857 257
8543 6942 257
4223 6121 236
9107 5570 262
2230 4656 238
8955 2306 262
8645 2908 262
6316 5041 262
7710 3063 262
3839 2634 238
4343 2431 238
1315 9310 262
7500 9982 260
3586 7974 262
1398 3488 217
9785 7358 260
2187 4537 238
7694 7989 252
8796 3011 262
7570 3322 262
3573 5454 238
5282 9994 262
8464 3310 262
3466 8143 262
9390 7286 260
6729 3570 262
9736 4934 262
3616 1240 217
9614 6273 260
8812 2155 262
8211 7737 252
5989 5696 218
5838 7655 262
9285 7479 260
7429 1176 262
6312 3357 262
9706 1629 262
2824 6578 262
8682 2319 262
2509 9723 262
1228 5511 238
1134 8840 262
8045 4134 262
4660 3259 238
7193 3563 262
8162 5447 262
3185 4634 238
6830 2480 262
6891 3879 262
1765 4202 238
4894 7755 262
2823 8550 262
2868 6819 262
4989 4206 215
8858 3015 262
4845 5742 236
6339 1265 262
1324 3874 238
6254 6588 213
2907 1497 209
1031 2901 209
7788 7123 239
3113 7694 262
2051 4421 238
3478 1247 217
5900 8295 262
3152 9797 262
7559 9290 260
5630 7805 262
1557 9704 262
2899 2891 142
6464 4296 262
9708 7138 260
4037 9765 262
3225 3580 194
1413 8367 262
2575 8806 262
4517 2063 238
1087 2820 209
1211 8690 262
5717 4180 236
6825 1054 262
2060 2221 170
4337 7576 262
3800 1579 238
7340 4317 262
9177 1846 262
2004 1984 144
8319 6026 262
7876 4541 262
9337 2292 262
8901 1693 262
8525 2438 262
3094 1314 217
6573 9124 257
9301 6700 260
2335 6636 262
4214 8834 262
1920 9131 262
19182 27970 308
19973 10188 279
13707 15271 271
18444 17410 279
43272 33047 324
18657 42003 324
39835 10975 324
16242 24518 282
18043 27518 308
40182 22262 324
45585 22875 324
11787 23929 282
16575 45077 324
45651 18979 324
23994 39138 324
47558 16775 324
22963 14901 279
34940 29082 311
17215 23537 282
21447 37181 324
28447 20473 308
30763 49642 324
45709 41670 314
48346 10274 324
15551 26279 282
27747 46596 324
28277 39097 324
19291 11126 279
16654 46642 324
22336 33179 308
24388 43405 324
16519 13822 271
12966 29378 308
42372 46479 314
32358 15258 308
44679 12671 324
12058 41085 324
15461 48645 324
39872 24262 324
33117 41735 324
21155 44612 324
14145 27411 308
41817 33784 324
25246 31338 308
20598 31792 308
22389 41024 324
10292 36906 324
48214 33159 324
48582 16432 324
25325 12310 282
46527 32735 324
15268 43917 324
23976 10246 282
23734 21962 282
38271 11957 324
32174 37364 324
27705 17157 308
45872 42530 314
34191 13466 308
25138 30166 308
47563 46036 314
30332 33494 285
39498 21031 324
30274 38637 324
49857 30757 324
49822 29852 324
34384 49874 324
28667 35290 311
33767 42980 324
39547 28743 324
30289 29081 272
27400 35652 311
31904 10821 308
16147 10012 276
21536 17020 279
11825 33998 308
32157 38953 324
34719 48786 324
36243 37215 262
29706 10918 308
14793 22521 279
27241 41667 324
46276 33368 324
17925 35548 311
30342 27336 272
24845 38533 324
18841 22207 274
34360 49877 324
36423 32714 324
17449 39238 324
24858 38611 324
33680 30268 285
33775 14737 308
40588 41061 288
37548 18221 324
29297 33983 285
34977 38395 324
31660 11751 308
41636 22004 324
28222 46562 324
42533 39018 306
42080 12634 324
22869 46340 324
28162 47271 324
20896 29690 308
26112 47411 324
26706 36562 324
10021 20494 279
14438 33721 308
35818 44458 306
39026 34811 324
33127 35719 324
47948 16449 324
33539 19459 308
41177 25244 324
19466 31543 308
24225 38993 324
23443 16752 279
38440 37642 262
48106 10022 324
46810 10028 324
46403 31927 324
42443 45663 314
41917 17660 324
39136 18321 324
38119 21558 324
26653 28868 259
48160 27716 324
37287 14819 324
18577 30059 308
20951 44804 324
33482 37191 324
14713 38626 324
25511 16007 282
37886 45306 314
20041 29206 308
30010 34616 311
12933 15385 276
31606 10312 308
38811 20117 324
14838 31156 308
49523 29425 324
43560 18388 324
41383 33978 324
31379 18334 308
11416 36193 324
26265 15215 282
11963 38185 324
26854 16997 308
15792 20222 279
42736 33379 324
24927 28305 308
33217 49878 324
31289 10870 308
15024 14249 271
16479 15302 266
35110 10119 311
23147 18033 274
45375 40880 314
43063 41179 288
14972 39770 324
24733 40508 324
11323 19039 279
39501 32880 324
45267 19956 324
23681 30676 308
40343 24004 324
32636 25654 308
17610 17783 279
28838 31230 272
29325 31340 272
11634 28195 308
27408 14600 308
12953 39409 324
13701 41040 324
28583 42417 324
26456 30913 308
14014 44745 324
15385 46558 324
11447 41405 324
19416 44334 324
46952 14332 324
18698 11550 279
30811 42799 324
27638 14283 308
37862 29111 324
36617 13246 324
39424 20967 324
29706 26739 272
25362 37015 324
15479 19506 279
45389 22329 324
13702 36909 324
23278 49018 324
24980 29387 308
37599 19988 324
23377 25082 282
22931 43118 324
35869 16497 324
11738 46089 324
15391 40411 324
32200 29540 285
15279 16805 266
49078 34167 324
17276 30421 308
14535 13257 258
41536 11471 324
11448 49340 324
39501 45459 314
18000 43610 324
15018 36716 324
32333 28611 285
