==32311== Memcheck, a memory error detector
==32311== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==32311== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==32311== Command: RunCollatz
==32311== 
1 1316 182
7556 4587 262
5328 2190 238
471 6788 262
6793 9347 260
3835 5194 215
8309 346 262
535 5297 238
6711 77 262
3834 669 238
4175 6868 262
5890 9304 262
8461 5269 262
920 6539 262
4160 7012 262
9103 7622 252
2625 475 209
7361 3283 262
6326 7564 257
9910 3654 262
2471 9825 262
7226 7533 239
6515 727 262
6316 8847 257
2727 4364 238
7665 4777 262
2378 2749 209
3593 1665 217
4865 8976 262
9092 606 262
9046 5045 262
5163 3191 238
9866 4940 262
2662 908 209
9477 738 262
5007 3842 215
2771 9138 262
5297 4645 210
9409 501 262
7615 7702 177
8278 1254 262
159 6884 262
8682 6295 257
7362 7254 195
9994 8885 260
2332 3063 217
3510 5133 238
5911 8460 262
4121 8415 262
2693 4154 238
5373 4679 210
2872 1784 209
1538 5716 238
8024 331 262
5344 4985 192
9553 7483 260
5546 8907 262
6248 8420 257
1598 2128 180
7147 1305 262
910 2746 209
30 4143 238
269 7098 262
9379 2399 262
1809 3176 217
8870 6520 257
1504 6813 262
3858 3877 145
4997 1476 238
5872 8455 262
5901 9554 262
5561 1482 238
9833 4088 262
1419 5649 238
2522 4885 238
4640 9611 262
1261 1998 180
3193 6293 262
1267 6512 262
6216 8030 257
2479 4764 238
3893 2033 238
284 9016 262
4265 1421 238
9474 4103 262
1312 8856 262
922 1622 182
711 3654 217
2531 1351 209
7831 4553 262
3495 4523 238
8089 9316 260
6516 2153 262
6796 9089 257
2502 8608 262
4713 5060 210
6004 8175 262
7558 4623 262
9513 6327 260
4393 8247 262
6890 7022 257
9871 9544 211
8512 2893 262
5374 5144 192
1035 4140 238
5767 8765 262
4400 7297 262
8692 7156 252
8007 7065 252
7417 191 262
8860 5250 262
4633 652 238
7134 4889 262
6677 6820 182
1996 9166 262
8658 8900 216
5439 1392 238
4504 9893 262
2156 4460 238
3158 5147 238
8815 4397 262
4675 8066 262
3652 2115 217
9991 1536 262
6305 6163 262
6 9 20
7733 7273 239
3192 4177 238
6825 6805 182
2053 8364 262
7089 8287 252
946 818 179
7640 6296 257
2139 2136 77
811 3888 238
9521 9475 198
3899 2692 238
6922 2841 262
7768 7838 221
4225 2822 238
1940 114 182
1919 9832 262
2441 8197 262
1365 3982 238
6010 1769 238
8283 1578 262
9879 2572 262
2336 1017 183
2194 6347 262
6960 7947 239
6962 7529 239
6695 6334 244
565 5982 238
2270 3188 217
6998 1175 262
7625 5261 262
5539 5880 236
3297 7030 262
1431 1617 172
4853 8602 262
8132 5568 262
7390 3160 262
1354 5285 238
3108 5881 238
5181 4309 215
2589 3702 217
3930 4469 215
4759 3878 215
2793 783 209
3698 2539 217
6718 6762 182
5139 7286 262
7207 9447 260
4607 9401 262
3216 4604 238
5171 6613 262
4018 6056 236
9865 1504 262
6701 3438 262
5417 5228 192
8292 150 262
2742 6430 262
5461 9178 262
2666 9700 262
2468 8439 262
6940 4558 262
8171 221 262
1608 7069 262
7078 4366 262
5824 7517 262
9915 6957 260
2795 7538 262
1712 43 182
4957 800 238
1631 9033 262
7830 7467 221
4364 64 238
5848 5185 236
669 5440 238
3897 2159 238
3858 6269 262
6590 7093 257
5387 2803 238
8159 3719 262
6861 3102 262
94 1038 179
5210 7759 262
2207 553 182
707 1603 182
7237 2970 262
506 4778 238
4572 5200 210
4465 1503 238
2860 8337 262
6956 5778 262
6811 3312 262
575 9868 262
5424 17 238
8562 294 262
3776 4897 215
5762 7389 262
6793 5363 262
356 1225 182
9733 1883 262
3513 6141 238
6076 1260 238
5529 9540 262
3569 8381 262
9742 2590 262
2516 4243 238
8130 8979 247
2446 7606 262
6948 4519 262
2636 6655 262
1166 2096 180
1137 5470 238
61 1760 182
5994 4319 236
825 6874 262
3753 8362 262
1237 9733 262
297 804 171
4942 7694 262
9340 2502 262
3597 7691 262
5000 7492 262
6719 6817 182
7567 364 262
2306 2217 183
5626 6526 262
6166 3715 236
2248 2337 183
6530 1660 262
7441 1598 262
477 6620 262
1250 9491 262
4842 6210 262
9140 180 262
5935 7219 262
4966 537 238
4416 5192 210
7719 654 262
4428 9771 262
4677 3291 238
4459 7433 262
2054 1714 180
3725 9397 262
9648 2550 262
704 1239 182
5263 1601 238
5177 1052 238
8415 3686 262
4239 3272 238
7135 5768 262
8719 7582 252
8366 6998 252
3891 9352 262
6056 3621 238
5395 4551 210
4017 2405 238
831 4216 238
4724 2898 238
1050 2164 182
8020 5274 262
6688 8636 257
2438 7115 262
2637 3828 238
810 4598 238
2329 7953 262
4913 33 238
2661 6647 262
4252 1869 238
9634 1341 262
7958 9460 260
1712 6060 238
638 3475 217
2925 5097 238
8258 8343 203
7264 3295 262
8021 6318 257
454 415 134
1534 7670 262
618 5193 238
9291 2205 262
2046 890 182
6997 7064 195
4946 2618 238
7116 3784 262
2007 2326 183
4361 4695 215
8612 9772 260
4445 343 238
5238 317 238
7532 5916 262
8229 3296 262
2321 5365 238
4306 4036 202
9873 9669 211
8505 8675 203
3116 1484 217
9976 6395 260
4681 9319 262
6908 8154 257
5415 5728 236
1593 9452 262
8213 1554 262
411 3436 217
1101 966 169
5188 225 238
5615 8568 262
5169 6745 262
7372 6984 195
228 1920 182
6710 3459 262
663 1407 182
9211 2217 262
3801 5860 236
1673 264 182
6911 7623 257
7137 774 262
5898 9255 262
9297 4305 262
5060 8312 262
9192 6016 262
7238 5193 262
4908 1615 238
9761 5744 262
2733 5314 238
6985 6670 257
975 5487 238
6107 6680 262
4951 5716 236
5889 4413 236
1513 5023 238
7313 317 262
517 5221 238
3207 351 217
2452 1072 183
3830 5518 215
5972 6111 187
9352 7720 260
5131 4867 210
6501 6970 257
4075 4869 215
4798 7104 262
