==15132== Memcheck, a memory error detector
==15132== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==15132== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==15132== Command: RunCollatz
==15132== 
81739 48492 351
399943 402311 387
55181 107837 354
586575 586446 222
88861 71397 351
74098 107217 354
3330 80022 351
36631 96373 351
298687 294802 358
62397 57713 335
217610 225320 368
82259 56357 351
94912 91638 315
9653 7962 260
108833 18161 354
600900 598922 372
15215 43776 324
5448 70078 340
35449 53065 340
177918 179938 347
22633 9484 279
412846 410176 374
6006 67633 340
13135 5353 268
27008 47154 324
670138 670965 292
374091 372800 348
35071 18085 311
1487 89259 351
80909 64426 351
742620 740689 362
67758 94337 351
450183 442038 369
23140 106245 354
50207 82762 351
80041 18490 351
66695 50189 340
298129 292673 358
132266 114521 349
744676 741891 349
64821 94005 351
78463 81738 338
74662 40249 340
110618 49832 354
100932 39788 351
332108 338867 366
73647 16807 340
68326 78261 351
2145 50711 324
115080 127652 349
889925 900343 370
69930 99119 351
134419 137764 344
2973 24731 282
41370 42675 288
78059 43126 351
93654 104898 341
108871 15919 354
339867 326319 366
31475 46025 324
948526 951049 414
225332 222445 368
10284 68553 340
43257 30588 324
52272 59805 340
67459 98101 351
448436 450171 369
492641 496474 395
76535 62562 330
105313 51214 351
412633 410739 374
10877 6970 260
114378 132299 349
92269 20113 351
706217 705739 336
47794 72740 340
442711 445150 338
22997 22751 238
5360 9616 262
99008 89413 333
90876 105652 341
533436 531318 377
50157 59903 340
82668 3503 351
76374 9020 340
32742 43062 324
474050 472763 338
395799 395356 268
102151 76661 351
30162 33636 285
79134 31927 351
326144 325399 322
521551 519304 364
6352 18139 279
59550 89696 351
589762 595146 403
87041 90937 333
20416 65259 340
123879 121071 336
87412 38015 351
98800 34195 351
52149 104074 351
15779 97396 351
659757 659444 354
789177 795017 437
75671 54573 335
15219 107116 354
68844 42616 340
87741 102124 341
45787 51612 314
103474 6892 351
235872 230583 443
67628 28309 340
74401 103181 351
44137 30116 324
84359 2400 351
46876 79718 351
47734 82623 351
679339 679930 367
713437 708353 411
5224 102405 351
42664 13108 324
428954 430417 312
114297 127824 349
82181 34022 351
311710 317224 384
1323 51999 324
84587 104585 341
396952 401096 374
2885 74767 340
132230 130737 331
733693 735803 424
26966 21123 308
78801 54527 351
68990 28352 340
146781 141507 375
675899 672463 367
72555 74526 294
23565 7472 282
713095 712922 318
59381 93568 351
98334 20139 351
445532 442484 356
82005 74111 351
66396 26979 340
60868 17232 340
51301 107012 354
27429 25598 308
65347 102545 351
72525 14391 340
594353 591950 403
29391 70222 340
37982 102712 351
290806 300116 371
61529 22682 340
91658 42973 351
13577 15880 271
800146 801750 393
5771 75795 340
25022 77663 351
107171 11131 354
25563 80429 351
104762 45315 351
106286 11060 354
112931 102326 354
5482 69803 340
20603 60098 340
55155 63177 335
95470 33281 351
64424 56048 335
700952 701036 243
54150 5980 340
659719 662822 323
18222 96633 351
48311 16872 324
78488 55342 351
101768 50938 351
833975 837352 344
56556 54723 322
879481 876412 401
29256 109440 354
594487 590025 403
133104 114200 349
24245 106452 354
617469 616068 372
62746 67283 330
38227 45888 314
63664 62922 330
77906 64531 351
4573 86940 351
92312 38034 351
34607 58966 340
5911 36974 324
101241 30255 351
249391 246056 350
76794 69249 325
4485 76488 340
40915 66848 340
16264 16375 204
800634 803635 406
330951 331457 247
19095 21103 274
233157 227946 443
206947 207357 311
213184 214956 373
50254 31033 324
90758 47000 351
36467 5169 324
171274 170378 334
594974 598570 372
92807 96380 328
71021 28755 340
46798 85042 351
111386 10777 354
52970 30699 340
616594 618731 372
8132 41001 324
108358 40078 354
7247 80090 351
33116 59518 340
45598 70650 340
30423 64395 340
437363 443165 400
75750 12033 340
711792 708061 380
589870 590338 359
990848 990850 197
86170 100251 341
62746 50183 340
664512 656538 429
42601 110109 354
10224 41576 324
741157 746534 349
47763 2116 324
84162 90174 333
32996 89033 351
25343 59295 340
35983 100916 351
41813 32832 324
48656 91312 351
59616 70470 335
37421 186 324
110329 60230 354
77395 31604 351
20313 33293 308
34628 94798 351
901606 906086 401
107547 81469 354
98865 25220 351
41458 90928 351
16847 32049 308
197479 196027 298
18715 99200 351
201693 203048 342
183200 181668 334
804381 804313 238
106398 80509 354
69801 27478 340
58840 53896 322
72087 20302 340
165796 166094 352
14451 81355 351
51306 14061 324
39613 66638 340
1832 20312 279
604290 599027 403
109076 101715 354
357187 346519 379
35119 100306 351
11815 68054 340
58974 45254 340
234223 234018 275
20946 66394 340
314005 312395 353
454323 455085 338
154614 154601 233
7396 99237 351
83915 59123 351
103890 64784 351
65904 96067 351
109081 27725 354
59380 15607 340
19165 70139 340
82186 863 351
56543 109163 354
35668 110315 354
31885 19757 308
78988 12952 351
4267 40526 324
140243 142241 326
5137 8039 262
94989 79505 333
989739 988537 352
29282 61163 340
45423 44822 314
109318 40692 354
64526 95877 351
602059 601933 372
104613 43927 351
104947 9751 351
195646 192207 360
900985 893908 401
65966 50905 340
40090 19213 324
40283 6279 324
93245 63634 351
74821 85452 351
122034 120667 336
144148 149852 357
36539 49806 314
35730 31268 324
110131 39545 354
87164 8962 351
61222 19597 340
1656 826 182
254104 246829 350
95289 38129 351
439133 453142 387
28578 68344 340
798744 796943 344
54582 23408 340
173691 179924 347
369417 369695 361
497542 497679 258
103401 67492 351
86193 4169 351
740093 745573 393
23403 58971 340
22972 81984 351
618658 614293 447
709312 712932 411
40171 102107 351
115382 120891 349
121963 133177 344
31914 41958 324
89608 77764 338
672564 671286 367
60534 110244 354
51467 100663 351
61167 42148 340
6621 25817 282
686222 683341 380
125657 128827 331
63177 43931 340
32828 9974 308
469519 471130 338
44935 4801 324
61960 69326 330
263631 265579 332
11903 85739 351
58718 93038 351
43744 9616 324
106554 2029 354
152457 152685 277
62063 55526 335
850121 850593 357
113328 20096 354
9999 6688 260
112347 102170 354
599923 600211 372
112866 19318 354
609325 608348 359
344271 355119 441
45788 17821 324
39905 99384 351
164039 167559 352
224276 217487 355
91621 30374 351
23121 52649 340
63857 99820 351
13627 98366 351
2324 35853 324
826555 825677 344
69048 96879 351
10396 53623 340
18294 33453 308
79381 25453 351
86619 3019 351
41914 64501 340
30391 109569 354
244584 244318 244
93758 48188 351
77604 14644 351
96637 56893 351
53122 113006 354
79442 15154 351
83317 40907 351
51285 85837 351
97049 89564 333
887857 889402 401
25837 22909 282
31480 64036 340
69030 45106 340
229127 231422 443
98720 95527 297
18984 25191 282
347227 346317 348
61006 43203 340
284654 284174 283
81619 44300 351
101709 87539 341
449880 444588 369
235433 233154 381
589491 590591 359
890376 896343 370
642573 642167 292
121629 127486 336
68866 46463 340
11756 106276 354
172419 181448 365
65117 94389 351
53968 66020 335
53861 3127 340
59533 84098 351
29788 23255 308
200167 198808 329
87722 13636 351
590358 594132 403
3337 1103 217
25033 76697 340
192942 196966 360
59219 108116 354
895774 900416 370
341577 356441 441
170358 173330 347
12882 60538 340
10418 89717 351
25246 35942 324
97896 29625 351
37433 33676 324
3230 17537 276
323550 331994 384
662862 662800 292
39856 46970 314
22848 75670 340
16901 25819 282
253150 255042 363
19814 57685 340
74637 77310 351
86583 75741 351
522412 521251 333
4283 95144 351
879098 880983 357
348050 356773 379
102627 9098 351
28178 6190 308
10497 55018 340
744058 742183 349
261823 266077 407
63782 46343 340
465115 460763 444
686120 682966 380
333245 328988 353
56882 7367 340
87915 34899 351
33044 59701 340
71432 84822 351
26857 29826 272
100977 72983 351
993631 992800 352
231518 226845 443
112442 49706 354
99861 12650 351
82 73208 340
57116 103727 351
63145 13158 340
40726 75092 340
42518 96626 351
67793 78368 351
29585 13350 308
53931 69497 335
85911 17316 351
19316 110821 354
656943 658259 398
71712 54560 335
95162 98286 297
10277 80862 351
65714 27636 340
94994 78643 338
1529 72901 340
620287 620574 372
690894 692370 442
19389 16307 279
55065 48702 340
348385 342708 441
34362 53596 340
23833 31795 308
226982 233236 443
340701 344518 353
791967 795875 437
101059 109817 354
307326 310588 371
13835 97536 351
102205 105074 341
86493 41285 351
8212 54836 340
86206 14672 351
110629 20438 354
90749 49935 351
89728 53750 351
9269 127 262
71092 74750 325
18675 9296 279
67565 97206 351
22613 83496 351
38960 45332 314
223 66948 340
92328 71564 351
410807 412894 356
99976 39242 351
20786 102429 351
686897 680563 380
301415 292821 371
180406 183087 365
210660 211200 355
292534 301363 371
271053 273481 314
140366 147259 375
356887 349874 379
78938 66206 351
22368 43476 324
33494 100864 351
383341 385728 348
42720 91867 351
313611 317991 353
513344 511487 470
27278 80046 351
6546 82413 351
528290 528479 333
818801 818431 313
75255 19556 340
47463 71440 340
64195 92268 351
73958 54121 335
148399 142288 375
58197 49332 340
67272 23204 340
76152 22541 340
105786 6836 351
13243 84896 351
62777 35971 340
369737 370074 286
24171 99077 351
5321 36591 324
43735 26960 324
291171 296980 358
81896 68212 351
596270 601158 372
74916 38308 340
61803 93178 351
619185 615510 372
986034 986192 321
112790 79403 354
34028 38170 324
17853 48013 324
76461 50929 340
24239 17398 282
107682 76664 354
43969 61555 340
27988 80063 351
23410 87113 351
17088 44382 324
32619 16394 308
101322 30188 351
66751 53963 335
923722 920689 445
66767 105997 351
20966 19729 274
10640 77422 351
573964 569970 377
77285 22757 351
970768 969587 458
675141 673568 367
36577 75024 340
96820 23704 351
48640 25505 324
77406 97882 338
175437 176522 334
505940 510175 382
59256 59250 167
13175 55576 340
46033 106366 354
37871 27421 324
691702 693876 442
6514 105166 351
68170 81371 351
54433 77021 335
75155 88920 351
80281 5458 351
237844 228454 443
866961 867720 344
42170 71001 340
14917 34057 308
742176 738135 424
106959 13029 354
21622 65910 340
103873 22343 351
14657 78979 351
58379 51123 340
44642 81584 351
617564 618178 372
105817 60692 351
114061 120362 349
104486 56470 351
69765 76239 325
55607 45790 340
90139 11184 351
85173 83574 320
78038 107763 354
111681 55546 354
42877 60823 340
57182 26212 340
65489 78778 351
312974 313528 340
45433 86580 351
96998 65292 351
74372 44735 340
14740 55703 340
49185 108351 354
896100 893166 370
50913 36180 314
31598 84215 351
66531 7286 340
31153 22803 308
3780 4189 189
11094 61574 340
603131 597420 403
188911 186614 347
33156 61511 340
396492 399309 374
64581 66040 268
42336 20115 324
56830 36612 340
101197 23235 351
35953 76878 340
45339 14475 324
670239 670555 292
86706 44294 351
598095 594307 372
10052 54433 340
70539 109163 354
