==19975== Memcheck, a memory error detector
==19975== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==19975== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==19975== Command: RunCollatz
==19975== 
93550 90550 333
18614 18993 261
39 45930 324
20137 96182 351
88567 65102 351
64609 48333 340
57559 20697 340
28438 48987 324
77107 49968 351
30307 36078 324
83348 30600 351
74403 54898 335
16811 9961 276
79876 386 351
48631 61101 340
77739 23772 351
13748 69064 340
4420 2157 238
81248 92450 333
66787 14956 340
61419 14463 340
17180 80899 351
98618 34400 351
92763 82055 333
3640 13539 276
2849 54184 340
91898 59365 351
32349 80036 351
33517 81479 351
83010 72631 351
70143 81870 351
41610 37357 306
38246 60324 340
20519 27031 308
49841 69821 340
22209 23740 282
75721 14036 340
94866 34535 351
40291 24147 324
4410 34462 311
80549 19986 351
55775 52531 322
65970 73174 325
21668 64595 340
38388 74555 340
73989 31995 340
84613 24204 351
91340 2411 351
5818 60847 340
21748 55891 340
24269 35070 311
14552 11913 276
95813 23375 351
95670 65117 351
61572 49270 340
9637 17124 276
81165 73120 351
38448 94032 351
47791 82272 351
62478 1377 340
23283 97735 351
79583 24116 351
21790 92012 351
17990 313 279
34915 20587 311
54654 355 340
64456 37418 340
92698 93145 315
79667 6646 351
40828 55433 340
62514 37580 340
32369 8860 308
1284 47347 324
62952 34885 340
53990 9127 340
57837 44147 340
25598 52209 324
84455 25797 351
38749 5681 324
30794 85021 351
501 5118 238
66105 51789 340
48408 9668 324
53980 5646 340
78184 72620 351
53145 60624 322
49920 30713 324
77362 61580 351
79806 65134 351
50876 6805 324
98507 58382 351
16695 46732 324
30761 26523 308
85358 82035 320
98712 87424 333
76909 99545 351
72004 21962 340
83770 52724 351
31279 70417 340
57874 96653 351
54646 59572 322
51777 52117 278
70211 10338 340
96636 79862 333
65871 56725 335
26655 80388 351
36177 72313 340
19262 30226 308
57000 58059 304
1898 55840 340
641 47452 324
31811 84914 351
7045 49141 324
46772 69373 340
50753 31732 324
83855 2138 351
90067 10676 351
85158 79869 320
94799 47051 351
93699 96639 328
65516 25676 340
77285 51414 351
70701 91597 351
77336 59719 351
5711 39556 324
29039 89298 351
50508 14698 324
96512 41676 351
93706 58689 351
24572 92586 351
33124 3186 308
75241 28985 340
77874 12527 351
51454 29322 324
5463 97431 351
25627 35850 324
56839 65815 335
40355 22736 324
54355 85230 351
22583 80 279
77747 41449 351
15344 77421 351
48750 2957 324
28952 80107 351
13993 76980 340
47653 72609 340
29322 13934 308
78131 14157 351
35303 36744 324
8093 51394 324
28464 58378 340
42936 38493 306
11734 16731 276
42092 10997 324
68438 22239 340
24368 83153 351
8134 44672 324
15681 69587 340
55867 86986 351
36926 90258 351
37589 89072 351
50339 64037 340
17063 51277 324
928 88219 351
6023 99429 351
46806 34344 324
54190 51370 340
76365 61178 330
89900 87034 333
14677 16234 271
9931 25125 282
64471 99277 351
11998 23852 282
84118 34730 351
54087 64965 335
68712 53542 335
38690 63515 340
70699 55515 335
65649 33618 340
32486 81255 351
26628 70857 340
96125 50561 351
91076 80344 333
94160 36198 351
21181 16153 279
63569 63473 224
60774 99683 351
96064 22250 351
50798 24625 324
10469 52213 324
38117 63617 340
65224 72267 325
92196 55768 351
46224 76934 340
36058 14370 324
99063 14901 351
20852 86680 351
38439 43344 306
32103 70458 340
40851 71397 340
27485 52956 340
95860 76400 351
12410 64798 340
57695 5770 340
95306 89458 333
29727 86584 351
87498 46050 351
79060 38821 351
11215 48426 324
35783 56778 340
25462 73089 340
30856 58793 340
23049 45845 324
36263 4953 324
28523 31412 272
97484 60603 351
33025 25735 308
51475 55723 340
22012 73081 340
53287 95090 351
56071 46773 340
7866 84248 351
47913 47789 234
51294 75639 340
11096 49943 324
51811 7915 324
45147 35666 314
46 67462 340
27513 69766 340
73074 98432 351
23331 48810 324
54157 84811 351
79547 43487 351
40674 5956 324
44096 98777 351
56334 64869 335
28855 13981 308
16873 39544 324
46935 29990 324
58939 49414 340
49361 1218 324
35129 79886 351
13915 81753 351
33819 48945 324
38135 72110 340
21595 83273 351
41028 52926 340
38603 25818 324
33665 53958 340
6419 83265 351
40985 18401 324
96454 68457 351
89328 45582 351
71681 31804 340
51432 93552 351
34623 66775 340
61360 89743 351
41884 72342 340
15722 48540 324
804 68558 340
72823 53361 335
61238 19449 340
57250 64567 335
8026 83180 351
9862 85825 351
74812 42661 340
34076 89462 351
68261 13376 340
37317 31660 324
3509 82761 351
41168 79599 351
5983 49867 324
68040 2434 340
73120 49575 340
87261 89052 333
37885 13313 324
37454 4115 324
17336 75284 340
20912 87 279
62382 38213 340
23966 63988 340
59313 38964 340
37725 89211 351
57181 1071 340
8554 55899 340
13337 33986 308
58658 61673 335
94700 93417 315
46733 89790 351
45402 16198 324
40840 75871 340
34073 91501 351
87278 4216 351
87892 15580 351
74467 6338 340
37275 41448 306
27709 7108 308
9637 94419 351
64751 69717 312
87587 56378 351
48563 54943 340
12738 61035 340
91571 44415 351
80541 96019 333
10547 15913 276
27965 41077 324
64383 92073 351
38414 94807 351
23277 77796 351
43071 57111 340
77615 69245 351
1941 76059 340
71863 81907 351
94316 1829 351
81863 20136 351
55180 55845 260
39572 86332 351
24708 44104 324
16918 66551 340
10565 45871 324
97935 52550 351
82557 29850 351
91317 85821 333
57647 46531 340
45150 9563 324
73836 71656 294
27239 19595 308
38736 30272 324
36001 8903 324
44283 28942 324
53048 14487 340
14378 64019 340
75105 16022 340
75633 69726 325
6720 44949 324
7928 27903 308
52627 46425 340
2511 60153 340
96639 61248 351
96143 41269 351
37365 20769 324
82511 43827 351
66336 47057 340
9471 62108 340
19533 4770 279
13765 76595 340
32887 66630 340
31730 15753 308
83823 96241 333
