==13782== Memcheck, a memory error detector
==13782== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==13782== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==13782== Command: RunCollatz
==13782==
2437 4836 238
6882 1520 262
4987 7781 262
6167 1734 238
8785 4775 262
6364 2850 262
666 8804 262
1810 7783 262
8733 2829 262
7968 1506 262
7849 8009 252
5560 4944 205
5662 8424 262
2823 5803 238
6440 3392 262
6867 4751 262
9918 690 262
1515 6568 262
8548 9259 260
3887 6060 236
7460 9427 260
7558 3294 262
9223 2339 262
357 8614 262
4249 2707 238
7872 7220 239
5328 8363 262
8876 4357 262
6631 8006 257
7263 1797 262
9191 4821 262
6311 9536 260
1678 7645 262
6295 5111 262
6505 6039 262
4791 6985 262
8869 5140 262
1914 410 182
6174 5790 262
913 5368 238
9536 4377 262
8590 5748 262
2566 3025 217
8590 2533 262
560 9712 262
1630 3344 217
9293 3517 262
3944 952 238
119 2687 209
5089 6043 236
780 8543 262
4798 6696 262
9393 3068 262
3116 8868 262
4683 118 238
473 7194 262
2403 1566 183
8722 2121 262
5261 9691 262
172 6009 238
3563 8222 262
8697 7601 252
8438 444 262
1390 7133 262
2941 8003 262
2452 9508 262
8508 6176 257
9106 3320 262
6310 2736 262
6194 8955 257
5725 7711 262
7839 6264 257
8849 293 262
3215 6471 262
3345 67 217
7422 1095 262
5671 5110 236
7924 5428 262
2761 1209 209
6350 4965 262
8395 4895 262
7419 3380 262
4004 2017 238
9479 1930 262
7369 8094 252
8205 1166 262
5160 1022 238
6151 9254 262
1263 9021 262
7959 760 262
7513 1225 262
6578 6574 138
9914 429 262
9681 905 262
5669 8191 262
3205 6211 262
2516 6591 262
1890 8351 262
9804 8227 260
2737 5209 238
2342 3282 217
129 1263 182
616 7915 262
3430 7966 262
597 1704 182
3286 5436 238
8240 5040 262
8962 5624 262
3902 4874 215
3787 264 238
3116 485 217
8641 5132 262
3910 5457 215
5424 4105 215
8501 3447 262
8837 9495 260
9773 5320 262
5908 8914 262
3119 9297 262
5468 8742 262
6132 7678 262
1535 6901 262
6813 9839 260
6102 8524 262
1957 9991 262
1361 4211 238
7384 1306 262
1065 2308 183
4258 3131 238
5841 8303 262
7675 6928 257
5645 8471 262
9053 9780 260
7186 9110 252
9355 8349 260
4601 6939 262
8622 7074 252
6319 7831 257
2602 1200 209
9599 2470 262
8775 7439 252
7365 2993 262
1614 595 182
9395 7289 260
4798 6175 262
7319 3396 262
9861 4840 262
5761 687 238
9381 8350 260
2753 5465 238
7720 2773 262
581 6419 262
7548 2147 262
965 3710 217
9860 723 262
4295 3600 238
4908 7605 262
2951 4422 238
6095 1386 238
8753 685 262
6649 1786 262
8356 6639 257
7830 5190 262
9845 1676 262
993 529 179
372 6490 262
2452 9301 262
6936 22 262
