==9733== Memcheck, a memory error detector
==9733== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==9733== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==9733== Command: RunCollatz
==9733== 
121602 40315 354
174830 198508 365
47385 93821 351
142163 25686 354
173737 176323 334
142295 185390 383
194174 136998 383
147144 104307 375
81943 118460 354
188778 53633 383
160199 43355 383
154865 146791 370
86850 65974 351
153262 78186 375
195362 155631 383
6854 32006 308
11224 134337 354
35655 164454 383
4295 58734 340
144003 137468 375
192326 52018 383
43792 78256 351
77771 19192 351
158911 12137 383
25175 36441 324
139183 80036 354
33251 176674 383
61122 160032 383
133144 64803 354
52298 144539 375
110308 62024 354
196435 35511 383
116357 168861 383
75017 73634 325
178762 73400 383
163115 128375 383
101539 12802 351
169488 26154 383
112791 5580 354
118831 83959 354
190652 171054 365
10550 98017 351
173938 105376 383
160802 76508 383
109593 23571 354
95249 121794 354
140387 28931 354
36977 85130 351
12792 31251 308
199094 118569 383
148065 70165 375
160695 58742 383
87142 14037 351
79717 66030 351
36733 23509 324
143749 26526 375
159219 74006 383
49529 129496 354
172938 147884 383
55385 149288 375
79812 98663 333
119510 164550 383
108699 64872 354
59005 13440 340
184994 154687 383
142451 168157 383
179928 182262 365
33706 57411 340
169795 54616 383
74640 40953 340
187198 135862 383
65979 166649 383
57402 33991 340
121593 135934 344
126043 192947 383
73078 79343 351
117385 86422 354
11856 62097 340
81160 44159 351
151586 10600 375
38364 54633 340
168810 103424 383
65077 36527 340
161708 55427 383
180721 62972 383
117524 154696 375
94026 123295 354
117321 18752 354
26605 107511 354
13092 168834 383
156311 54908 383
84094 173635 383
45225 173972 383
44096 109483 354
96032 38186 351
145926 176075 383
187435 104444 383
20695 174751 383
57762 34693 340
15205 126043 354
78848 151724 375
134665 170954 383
187516 5071 383
75867 163524 383
2249 53577 340
78999 142974 375
4347 176174 383
176585 19330 383
84052 13095 351
31024 189367 383
186020 107609 383
18430 189705 383
4519 122875 354
191553 45317 383
146181 176527 383
172674 191051 365
166152 12285 383
161523 22504 383
23720 127410 354
133211 74282 354
7695 163065 383
38317 40479 306
29034 353 308
97101 56737 351
159057 189340 370
61821 133449 354
59352 198161 383
108844 182792 383
187235 90196 383
65142 134913 354
107462 161009 383
139756 67684 354
54961 23768 340
73674 21301 340
11158 143619 375
44049 78514 351
152051 19159 375
145331 89705 375
93138 66758 351
64216 198929 383
3733 109770 354
164651 194891 365
136384 15666 354
56723 197566 383
30950 21691 308
171329 192986 365
124977 72321 354
5338 32989 308
108778 176370 383
116979 42847 354
185894 124565 383
137076 136206 313
105096 184338 383
1906 49011 324
57432 193885 383
167479 140572 383
184202 110936 383
162855 59883 383
121250 75020 354
92142 148946 375
73335 181200 383
15247 127131 354
172209 174306 347
130192 18432 354
102503 33643 351
78667 189051 383
151998 109122 375
98284 111601 354
104126 41925 351
199757 12984 383
174110 44347 383
175946 46383 383
114465 84100 354
135340 77803 354
83460 169321 383
142460 187241 383
150721 50645 375
35940 39650 306
134425 25704 354
6081 115475 354
109160 101110 354
64430 160306 383
10395 35621 311
39927 145971 375
110391 105508 354
69036 132803 354
106829 176871 383
114781 59996 354
62260 177290 383
66667 36405 340
14142 185688 383
182694 193245 360
98545 145473 375
67276 110410 354
24638 77344 351
130749 105782 354
40407 35568 324
66762 199090 383
8821 118298 354
38796 195929 383
158481 12253 383
22879 189940 383
165315 142310 383
77289 128335 354
148808 15799 375
174173 60534 383
130302 84977 354
117178 162369 383
101482 165409 383
120152 74847 354
9680 91143 351
143878 171713 383
107708 33628 354
79689 85807 320
146575 120758 375
155687 64931 375
70936 116415 354
106647 77641 354
155365 148761 370
189658 57078 383
115533 187893 383
57708 134088 354
150005 134199 375
155295 151323 352
180783 184001 334
132262 75446 354
25604 81470 351
134606 182403 383
192292 75138 383
170002 34660 383
71155 147267 375
95107 50042 351
20042 140725 354
92032 104348 341
2125 168449 383
100220 86862 341
19929 1704 279
49650 26494 324
24383 186431 383
103931 42518 351
86644 157800 383
58064 119899 354
159342 108253 383
163166 124964 383
139060 158115 383
46691 45144 283
132294 32496 354
51011 55765 340
107377 197553 383
50467 181372 383
40640 53152 340
197497 35617 383
79151 23360 351
169551 84511 383
72366 102275 351
152353 139967 375
78876 171784 383
63068 110826 354
181162 161253 365
166799 124360 383
113188 146430 375
150114 82845 375
158715 86820 383
14329 95504 351
104788 171254 383
126786 147386 375
150228 43512 375
146825 103192 375
32886 134690 354
