==6126== Memcheck, a memory error detector
==6126== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==6126== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==6126== Command: RunCollatz
==6126== 
675049 286166 470
750731 572412 447
845454 972316 476
658610 924431 525
648648 455244 470
140446 55769 354
549489 489839 470
706790 887282 525
149604 13799 375
982552 728827 525
341637 282698 398
451059 778580 470
748885 552751 447
321493 634379 470
575104 101723 470
73999 12832 340
733426 657723 442
15721 292295 443
784991 526394 468
246376 838873 525
330728 896834 525
726762 635743 442
512642 51225 470
152270 819280 470
952781 241113 525
376835 4561 443
691240 465832 470
135110 342249 443
567058 838382 525
86904 962291 525
127588 895170 525
741360 49184 470
846747 706388 525
121782 283243 443
613961 327215 470
836773 37028 470
482137 232726 449
376834 976998 525
361363 891945 525
528754 918917 525
961484 558650 525
491216 859267 525
179983 705961 470
939342 318131 525
121111 18524 354
408637 629510 470
731866 439736 470
423779 175971 449
271876 526219 470
292614 162412 443
326080 750580 470
43855 249324 443
404062 718271 470
895564 373530 525
433840 308115 449
745471 144294 470
735547 315902 470
645942 969640 525
666282 909503 525
705136 73133 470
452729 857703 525
895177 859041 432
377439 150960 443
804348 940835 525
429370 165097 449
452527 454809 369
817995 353413 470
254957 95707 443
941549 424339 525
582927 615470 447
699690 532975 452
865828 480274 525
920846 388641 525
470898 289531 449
326944 273032 398
959490 39053 525
536073 957103 525
898142 716733 525
42290 943259 525
169066 176703 347
576021 528310 452
444262 508582 444
805495 216535 470
190156 734967 470
569162 220052 470
303330 303477 265
771684 816986 468
401627 773394 470
568615 11729 470
177973 926523 525
823502 942460 525
745217 877690 525
883372 408565 525
406334 901690 525
350319 242803 441
787686 826756 468
640855 452788 470
851200 565158 525
909839 342494 525
689482 921351 525
878522 874152 432
409387 238175 441
975404 571157 525
756283 907654 525
622456 143683 470
469441 806027 470
165116 786985 470
37663 167648 383
353302 390487 436
506028 863688 525
496644 107909 449
63440 496042 449
985690 479641 525
265191 138624 443
423397 751253 470
348486 428911 449
444433 397604 449
138619 342719 443
465188 302021 449
287434 81536 443
709358 61600 470
568569 240002 470
683479 997343 525
379252 625695 470
588442 325708 470
501245 462233 426
621435 980332 525
415434 890486 525
12346 563066 470
731471 794585 468
817746 165506 470
332200 642826 470
586841 413464 470
770604 664965 468
758762 591826 447
219822 450600 449
65027 184263 383
657933 540865 452
515843 868274 525
598550 256957 470
719995 872303 525
325714 603355 470
30472 270974 443
364702 27976 443
308008 944364 525
747577 549611 447
536939 519929 408
549069 429944 470
808829 261256 470
1086 270187 443
126424 333107 443
882956 411743 525
834404 210182 470
380472 135979 443
961312 657633 525
510818 390207 449
794085 406908 470
556797 337279 470
15400 898857 525
727515 298029 470
184780 345880 443
614096 605068 412
830778 255237 470
813505 866393 525
980584 641940 525
689181 865945 525
438990 883094 525
732544 839326 525
945880 242526 525
129167 432308 449
550419 127239 470
22261 233740 443
413978 404304 449
786699 236435 470
732923 201175 470
963120 51140 525
723358 412312 470
400899 531610 470
922609 34457 525
273249 601953 470
462478 741763 470
811235 704946 468
884092 512474 525
224932 357704 443
381039 675857 470
868955 54505 525
299728 743536 470
627014 771067 468
455501 446222 387
463650 440838 444
950109 323424 525
100932 780045 470
372722 844777 525
588806 446589 470
626868 317492 470
385868 843538 525
767467 920285 525
960804 130618 525
829048 167516 470
129509 191110 383
764875 346126 470
751606 292987 470
429744 444485 400
270736 362673 441
916719 15363 525
282264 155334 443
331816 178435 443
689188 973250 525
348238 254633 441
660471 209371 470
752208 412352 470
79906 303248 443
928703 474646 525
298321 92530 443
535872 577126 452
95317 379054 443
305951 363370 441
637643 453697 470
124479 637938 470
406986 864266 525
224033 240920 443
117935 617129 470
590259 881598 525
595203 985234 525
812450 139529 470
629012 363022 470
794344 762541 468
123665 945568 525
994186 308377 525
149050 696820 470
269744 684689 470
337241 385335 441
896139 32878 525
714210 618667 442
445112 804713 470
68677 545955 470
85312 197427 383
964916 256188 525
794439 348412 470
178748 940347 525
225451 73311 386
440355 829880 470
159838 43297 383
876994 192821 525
522121 400253 470
680681 961616 525
768508 421857 470
867277 841625 428
592514 787944 468
165314 114621 383
906537 837482 525
960545 774588 525
631575 446907 470
977281 126402 525
964247 6429 525
89486 368151 443
12907 994097 525
816901 965634 525
324738 193874 443
223874 569435 470
798393 830032 450
706101 309521 470
380348 58426 443
203329 180129 365
164181 64976 383
326513 37266 443
486803 671898 470
308559 204537 443
496274 899036 525
741329 527121 452
460211 631863 470
285794 503360 449
7011 874584 525
669981 80416 470
878119 95709 525
979419 67319 525
712655 482141 470
293217 295494 358
561844 185575 470
715500 302278 470
620917 264778 470
199250 601968 470
713863 787809 468
899005 216502 525
629957 233279 470
674254 923191 525
815861 489263 470
23904 863513 525
554306 476368 470
242517 978829 525
142987 773470 470
841586 948123 476
939499 956974 414
742359 843732 525
22664 12743 279
236901 554983 470
854151 168946 525
173561 742182 470
857225 860196 370
799631 639712 468
241098 123619 443
178620 791779 470
630224 721631 442
385051 109298 443
418516 696472 470
430921 233331 449
542622 40998 470
226501 721344 470
548769 385351 470
154572 516694 470
178760 155832 383
698351 20132 470
446832 723840 470
508010 193608 449
766517 957465 525
988883 158961 525
305750 987316 525
812686 98054 470
390010 490116 449
361974 169229 443
928243 736143 525
337218 995913 525
338228 979529 525
915250 309120 525
634098 852535 525
16538 22151 279
395287 187597 443
714046 870690 525
212373 220177 386
420773 641205 470
325343 362189 441
774223 495077 470
771750 933844 525
896178 697732 525
611631 158610 470
405481 569699 470
249655 973937 525
898974 692209 525
755028 811081 468
123151 304847 443
805400 629014 468
380542 307569 441
562906 41330 470
811445 243984 470
641193 127157 470
641485 47191 470
345922 310505 384
916618 303237 525
733310 712943 420
322209 681294 470
272483 728289 470
297112 769251 470
915958 212409 525
823719 588021 468
257824 303274 416
363046 191200 443
281600 1871 443
462221 432818 444
130616 793447 470
670459 125294 470
332976 673966 470
81892 698615 470
458486 631049 470
591773 336268 470
18263 24609 282
712093 31884 470
19487 602053 470
151694 148107 370
841101 786949 525
438748 816708 470
723196 692871 420
886300 639518 525
971809 131821 525
57541 338532 443
91450 374790 443
613580 922543 525
913197 800348 525
695579 417592 470
162815 97556 383
34281 302188 443
95402 814376 470
520085 179953 470
199794 759870 470
209864 44096 383
305866 938746 525
313363 973274 525
755166 140409 470
426518 226778 449
378014 822657 470
729105 20646 470
97081 48188 351
90915 379723 443
550624 568880 421
474479 496981 426
771857 722854 468
935320 717880 525
317507 626392 470
315273 75237 443
825363 225859 470
935812 980514 458
468840 700887 470
650621 618772 425
205437 626376 470
39726 840306 525
428432 402771 449
5003 114017 354
745569 800994 468
548417 473783 470
796135 859361 525
763923 348980 470
723422 480744 470
808100 14715 470
380100 884737 525
362386 86038 443
394776 607823 470
150854 25226 375
87982 70666 351
974709 886531 476
521699 318708 470
817651 575605 468
535095 511339 470
151047 273493 443
715262 303981 470
253487 395770 441
313076 139666 443
939493 869481 476
886778 665062 525
396799 609351 470
835135 502097 470
788902 276510 470
437535 422028 418
743380 5901 470
214432 831663 470
133562 331157 443
97521 438057 449
200427 393544 443
892459 172462 525
277666 858264 525
313358 881766 525
420814 336119 449
513205 513867 276
650265 635915 425
406319 649029 470
863479 991165 476
516341 240034 470
229868 335114 443
630681 404956 470
741576 676829 442
215526 219528 386
510589 544574 470
860336 153434 525
393413 696349 470
353688 868063 525
44940 498823 449
744524 231104 470
107973 148851 375
340379 132425 443
207852 220591 386
369161 994038 525
819954 287730 470
52046 963934 525
734748 891325 525
114211 6001 354
891992 324354 525
735126 242658 470
344611 280949 398
60749 265200 443
304527 419120 449
850875 107292 525
692582 36159 470
884484 107219 525
464382 758590 470
696475 472727 470
39779 741810 470
608516 801712 468
620301 908067 525
559491 635152 447
580822 230348 470
397449 546232 470
738746 92434 470
911928 459181 525
324986 356438 441
95747 616534 470
585460 207976 470
309670 882365 525
478421 758333 470
379158 46614 443
630464 772478 468
160407 623494 470
598905 223765 470
735058 103313 470
810226 746822 468
857052 945080 476
788146 569766 468
367780 777776 470
231516 36714 443
210368 510104 449
387406 706849 470
882884 203159 525
322366 324642 384
581900 358685 470
875228 510542 525
753669 966819 525
235606 797485 470
567039 527867 452
9801 765127 470
596990 27562 470
346146 83582 443
100637 828493 470
834035 3365 470
575245 467421 470
842566 411951 525
330001 669314 470
874194 127102 525
727079 961032 525
953562 380975 525
589280 425632 470
322718 232728 416
405910 771468 470
190781 235993 443
291866 571337 470
779322 220019 470
756596 178232 470
273680 857163 525
806600 787981 468
784388 384354 470
399751 236065 441
504479 825398 470
801569 223359 470
908928 28353 525
648694 229733 470
67676 713453 470
897259 873423 432
156328 46348 383
171063 751572 470
714056 26567 470
630416 965462 525
430545 914258 525
642442 126706 470
72474 379913 443
748149 173850 470
607305 429496 470
285560 563895 470
671963 402138 470
374247 494761 449
458026 905675 525
351146 145644 443
435393 410441 418
945682 902590 476
482596 950621 525
944928 232923 525
692681 696373 367
757807 531825 452
548500 860750 525
106955 35207 354
868129 153746 525
641075 151110 470
323123 37419 443
67430 574503 470
6676 243326 443
575309 559952 421
386362 159385 443
429743 442944 400
357771 508389 449
562728 60207 470
147336 887368 525
595403 357000 470
554720 423473 470
23291 554388 470
849719 677316 525
401355 195976 443
563247 770253 468
760823 229968 470
4167 64138 340
239954 882175 525
290301 261999 416
483873 411485 444
503128 120573 449
971262 934627 458
56561 856137 525
561810 611033 434
105072 382820 443
618534 215098 470
32932 621222 470
401449 790213 470
309970 930846 525
507109 38852 449
150612 946097 525
881055 466776 525
992200 921565 476
467778 840727 525
498914 271367 449
964950 816030 525
323294 909080 525
595586 436305 470
755105 115591 470
210902 487800 449
436476 616804 470
118598 763198 470
156717 580197 470
729502 700109 420
573778 811575 468
429477 963068 525
180183 66914 383
896336 355579 525
660632 925395 525
862321 528629 525
818563 902219 525
247196 637976 470
50423 665113 470
248328 657614 470
183136 719098 470
798796 597987 468
797603 545464 468
833721 723421 468
473396 294241 449
501200 707547 470
616366 759614 442
910945 940676 476
748464 474147 470
916561 355944 525
794032 511609 470
686104 133311 470
109486 589109 470
548316 770177 468
492014 271442 449
224437 35557 386
753163 467314 470
40823 283177 443
516179 521626 439
78411 182988 383
221808 827517 470
428505 623248 470
454494 519521 470
692305 384536 470
452507 128809 449
427684 813159 470
55908 881339 525
226182 357465 443
363416 410067 449
654885 302473 470
902094 140176 525
508532 962941 525
42146 521537 470
589650 643270 447
44726 903206 525
837713 834284 344
192196 19575 383
81691 318200 443
289391 979307 525
171192 921134 525
225189 667016 470
244131 100924 443
639251 481735 470
482696 638320 470
832826 675258 468
796553 894030 525
584074 903464 525
184080 582696 470
740033 738513 424
178852 704092 470
529012 243837 470
164950 992327 525
50421 641506 470
398785 996275 525
435628 360429 449
199075 664364 470
662785 108313 470
865246 697660 525
394221 271797 441
197216 413865 449
510908 901888 525
685571 175841 470
85593 918855 525
923286 413398 525
667158 626073 429
941921 675106 525
235947 519066 470
56411 332337 443
940420 450717 525
24048 276453 443
470571 796675 470
950168 323376 525
289464 205384 443
724042 916382 525
347223 196129 443
135267 981217 525
293126 753495 470
39252 869674 525
135849 763190 470
33841 910693 525
703529 58592 470
996980 276642 525
640773 71768 470
509346 649536 470
379836 440851 449
180952 5193 383
300940 116892 443
88811 10117 351
87855 947404 525
850487 586457 525
958958 83039 525
978097 829548 525
582203 454638 470
943668 48489 525
155562 165540 383
911479 911369 233
71388 117402 354
660285 89504 470
659903 662258 323
249925 504445 449
257786 655839 470
346442 52613 443
494537 692430 470
472081 184492 449
514332 470612 470
482310 134454 449
327178 206440 443
484245 672940 470
836603 181002 470
843939 494093 525
229378 89702 386
993895 417754 525
895051 753835 525
764638 364081 470
588114 816139 468
159986 539602 470
274650 156082 443
906509 362583 525
406165 65333 443
320543 672145 470
468549 800304 470
949125 790185 525
838680 93126 525
555491 383527 470
497302 165349 449
701113 453094 470
989976 539935 525
875611 936272 476
723093 961003 525
467716 804994 470
787962 462981 470
206673 399931 443
264589 24783 443
638946 349978 470
497319 450575 444
648117 533885 452
163434 504049 449
594897 853687 525
378700 353031 423
827765 606272 468
73144 642700 470
463756 236952 449
425698 433183 396
261018 779 443
97499 66894 351
573819 499455 470
364928 825631 470
729594 249995 470
686559 777484 468
328625 531524 470
478188 841630 525
687621 629797 429
547914 7000 470
692359 286525 470
787897 375317 470
479425 639011 470
445161 632283 470
348177 230379 443
915462 873880 476
833474 565654 468
234276 433159 449
866627 916019 476
234966 25159 443
956909 649367 525
539389 694415 452
852417 30108 525
153036 697177 470
280291 995917 525
401802 724119 470
208662 841314 525
367966 895914 525
253987 797789 470
678516 567286 447
668437 128891 470
805668 118600 470
796467 455320 470
414067 909820 525
26565 588235 470
845275 962125 476
331537 494301 449
717591 454857 470
620167 661246 429
244431 147715 443
255876 551315 470
185738 460339 449
788303 207958 470
993719 464251 525
559256 684178 447
753805 262353 470
427294 260140 449
229712 699818 470
673562 292552 470
114457 153214 375
686743 873690 525
650604 331112 470
350159 552329 470
226231 185747 386
612862 854392 525
222500 460869 449
695955 730634 420
724872 863705 525
787065 395922 470
865991 213056 525
707308 587733 447
420173 560219 470
867985 747472 525
794989 606350 468
385199 610579 470
474047 224823 449
516864 35662 470
526086 64870 470
536314 4378 470
614611 251374 470
859911 13017 525
839991 135936 525
236655 416980 449
879420 966750 476
89329 720750 470
566708 960241 525
657915 251148 470
66270 70201 312
160221 484402 449
318299 951279 525
1921 295410 443
156583 339534 443
934556 873902 476
206496 420529 449
538568 901282 525
496208 788563 470
581533 176828 470
675640 223111 470
728821 248737 470
534479 149141 470
225697 203607 386
850260 760659 525
473634 288946 449
492875 753670 470
982014 681884 525
183169 265668 443
161930 228488 386
125926 952184 525
221135 519708 470
844433 807062 525
563259 973040 525
825662 253097 470
839435 792455 525
5242 137673 354
427135 586871 470
919552 634774 525
217312 249418 443
976649 499927 525
296414 34922 443
75818 594457 470
455258 366824 449
706899 722629 420
155536 728498 470
814479 244418 470
927568 386309 525
263804 823627 470
37233 940335 525
19064 500970 449
838675 15546 525
358369 556716 470
981127 778043 525
720776 5832 470
46535 316125 443
395663 513276 470
709768 939601 525
685188 732899 442
810539 16945 470
878995 833649 525
523742 651196 452
287587 646492 470
219540 705795 470
149407 701952 470
556828 870338 525
290227 22853 443
185183 131652 383
217259 354447 443
630658 31446 470
653743 101307 470
92858 42726 351
274927 822707 470
574280 260179 470
893213 841143 432
493717 906291 525
710512 454223 470
976039 244103 525
627231 419281 470
559276 21975 470
425603 831421 470
52725 371502 443
347941 251714 441
576336 818670 468
700540 816179 468
828416 549765 468
126150 719416 470
146249 607894 470
333656 120352 443
253917 616873 470
284069 502209 449
656783 216581 470
959210 321188 525
505086 24265 449
929410 363968 525
692941 72457 470
86839 868727 525
220891 408011 443
99931 950117 525
460775 115262 449
675896 517103 452
41056 198456 383
