==9643== Memcheck, a memory error detector
==9643== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==9643== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==9643== Command: RunCollatz
==9643== 
864055 657103 525
80969 970353 525
401488 916956 525
141311 271051 443
877767 106565 525
973544 60497 525
795708 953812 525
390088 263832 441
82944 41229 351
406093 877763 525
698354 145028 470
411264 126154 449
690982 566862 447
215563 526790 470
418262 272194 449
611703 282318 470
443502 206877 449
766876 359195 470
638039 908187 525
630246 515807 452
14753 117997 354
90509 324666 443
71810 480598 449
588498 154754 470
36032 508797 449
546722 248591 470
653825 472192 470
374745 859012 525
39055 590308 470
900007 457317 525
862503 511711 525
253841 820210 470
232793 20718 443
179407 870832 525
443111 323858 449
900845 972068 476
441855 991354 525
296736 27870 443
471953 399439 449
696828 22190 470
908236 243552 525
270782 76267 443
715744 645527 442
935279 754799 525
750041 835287 468
726321 126750 470
861203 494367 525
946960 93998 525
515086 126368 470
964830 472402 525
450227 865676 525
444471 892082 525
857032 255412 525
434158 843190 525
654852 130987 470
865381 77294 525
374539 650368 470
153562 90284 375
295896 603046 470
359288 45938 443
438335 599815 470
172688 813743 470
94183 119650 354
907741 123474 525
246018 386778 441
595876 210450 470
766659 554553 447
102534 137897 354
809965 536692 468
495293 979022 525
181884 360675 443
570522 556424 421
11044 724084 470
160913 821144 470
841335 34407 525
381288 793875 470
634222 553976 447
607620 242610 470
187831 29567 383
366085 948054 525
416345 476166 444
158505 697210 470
30720 775243 470
835107 354891 470
826140 330401 470
848118 8026 525
205281 418641 449
564450 730529 447
656930 239568 470
551675 498267 470
273975 447168 449
292143 908197 525
515349 899763 525
665013 703181 442
929331 31099 525
165441 859881 525
21470 838150 525
557092 52191 470
613395 906405 525
921286 439536 525
236807 769405 470
961766 956293 352
188048 40422 383
686823 844978 525
279991 752703 470
857450 553966 525
199872 149595 383
976369 715222 525
563563 155588 470
932608 7100 525
186687 98050 383
866982 722361 525
936200 938279 445
774552 63801 470
844685 210044 525
17543 81494 351
493655 979309 525
551992 681703 447
19733 238816 443
40887 813928 470
505725 412543 444
882099 705597 525
