==63878== Memcheck, a memory error detector
==63878== Copyright (C) 2002-2013, and GNU GPL'd, by Julian Seward et al.
==63878== Using Valgrind-3.10.0.SVN and LibVEX; rerun with -h for copyright info
==63878== Command: ./RunCollatz
==63878== 
==63878== WARNING: Support on MacOS 10.8/10.9 is experimental and mostly broken.
==63878== WARNING: Expect incorrect results, assertions and crashes.
==63878== WARNING: In particular, Memcheck on 32-bit programs will fail to
==63878== WARNING: detect any errors associated with heap-allocated data.
==63878== 
--63878-- ./RunCollatz:
--63878-- dSYM directory is missing; consider using --dsymutil=yes
1 10 20
601981 624310 447
60559 173052 383
63924 570865 470
218873 300675 443
400647 344826 441
593608 66878 470
106770 935221 476
123709 761265 470
280656 951775 476
218357 298840 443
585419 659518 447
735711 415992 470
664613 52016 470
922398 552212 476
502430 805395 470
768108 918690 476
217970 4268 386
212379 940191 476
466361 417836 444
959673 694200 476
939537 601212 476
954702 120132 476
600052 766583 447
267540 890780 470
103164 375178 443
824525 636186 468
112348 719528 470
817265 723843 468
993090 212232 476
519256 607513 452
255201 310785 407
351030 579365 470
625923 159289 470
104400 768743 470
645971 240367 470
353535 777540 470
301976 329957 384
228184 552727 470
714068 139295 470
817626 359642 470
667452 661435 398
971187 426324 476
88197 330378 443
297935 151992 443
912653 941395 445
623430 516391 452
70429 714063 470
281100 971647 476
481648 802820 470
42868 59989 340
287539 610186 470
741394 988934 476
127663 710751 470
30887 500418 449
736546 677301 442
601737 388206 470
914374 224030 476
413969 257194 449
700982 352568 470
117012 146879 375
551629 284829 470
367792 62945 443
588020 968344 476
370113 237947 441
680595 474706 470
715679 525767 452
38567 607397 470
193346 162909 365
359634 113376 443
547068 246414 470
114664 891032 470
150120 908572 470
992970 557105 476
944269 171169 476
893640 68725 470
895271 767167 468
771309 963712 476
35349 143261 375
680677 98248 470
947140 999981 458
158199 298552 443
882770 854609 432
525264 517495 439
484519 874429 470
862503 674532 468
441917 119391 449
451588 356166 449
145485 140575 375
54552 894171 470
14394 190501 383
31457 463720 449
444350 872285 470
846199 888558 432
641395 701908 442
331722 767034 470
508737 364801 449
980315 20461 476
663962 304709 470
121526 481367 449
373668 865075 470
380557 860629 470
275124 826453 470
676028 715336 442
846561 547753 468
281912 684728 470
611362 187194 470
606556 985742 476
201884 204700 342
817813 639871 468
40147 46966 314
180620 89743 383
284281 153184 443
827858 164181 470
976740 131287 476
34244 440702 449
618433 704263 442
110629 661663 470
608686 185191 470
418485 941103 476
929541 469417 476
915724 228070 476
323763 636337 470
309144 214533 443
874825 318799 470
281877 498469 449
192011 655395 470
425117 367695 449
263109 34027 443
892887 261578 470
267379 472295 449
545 634869 470
946186 13049 476
677531 406692 470
260479 266070 407
671478 288038 470
929458 217075 476
771024 639783 468
59934 942140 476
714117 363200 470
223961 695505 470
986716 966352 458
244662 318902 407
716989 999759 476
89232 741903 470
388973 944734 476
838643 348940 470
704369 95465 470
689789 733191 442
6392 638608 470
184903 913758 476
78584 363648 443
513948 550681 452
899436 186588 470
925282 305723 476
685673 783720 468
847703 587300 468
796688 442414 470
831882 179631 470
566154 936243 476
733292 739884 424
206577 872515 470
135394 371758 443
194233 866654 470
465059 199610 449
78527 879428 470
464147 622386 470
158114 102740 383
500644 623855 470
276731 369059 441
439668 257899 449
832217 111304 470
528237 565743 452
581758 205933 470
453718 163643 449
427111 543717 470
124756 793771 470
52018 85212 351
284864 475138 449
640884 394384 470
648809 784086 468
365920 598440 470
787566 748126 468
984076 848183 476
124921 306902 443
521154 826608 468
495992 156838 449
645370 732055 442
268680 647920 470
716034 216541 470
307744 755849 470
883571 797738 450
717944 615544 442
58643 97199 351
846066 587076 468
4772 822768 470
251497 829246 470
975767 778576 476
195197 825358 470
530940 830826 468
131412 303375 443
443358 520420 470
505603 826682 470
621918 914675 476
366992 11618 443
373279 435200 449
163546 796332 470
60561 948766 476
637881 49145 470
660434 353422 470
812375 539414 468
605636 591347 403
162891 476405 449
470818 509454 426
848249 353869 470
912927 963239 445
348910 677186 470
460319 694296 470
442837 502325 444
707042 362084 470
960833 422156 476
156984 131305 383
834542 777026 468
783988 636080 468
825237 889942 432
6813 618215 470
554743 938311 476
945366 405831 476
181624 663767 470
146083 364236 443
581000 75472 470
171560 857056 470
253255 955208 476
874037 537701 468
143044 526365 470
511968 336224 470
942682 217107 476
319309 353874 441
126839 129427 331
105041 168232 383
238220 150667 443
136362 728060 470
919527 501755 476
476096 692473 470
749964 920394 476
745979 321638 470
699140 572968 447
830191 302172 470
111617 930613 476
642192 636070 416
859284 364686 470
58148 398617 443
230311 101670 386
430028 710574 470
91356 836315 470
952883 160599 476
883645 411559 470
852482 241217 470
400883 816847 470
983565 989414 427
352765 162825 443
837227 13993 470
19189 594406 470
246258 698637 470
357649 970878 476
480400 517966 470
613694 586306 403
848680 614913 468
445359 123132 449
355440 179904 443
543596 933637 476
984214 221261 476
798274 577591 468
873354 372610 470
333956 763751 470
37241 430540 449
319453 144278 443
115497 402921 443
358756 774649 470
582385 889579 468
394984 705091 470
621144 40753 470
363332 202082 443
857360 375792 470
888194 241794 470
818523 341182 470
381190 651883 470
895165 109006 470
371817 80546 443
410775 545647 470
912164 954608 445
106675 700269 470
979006 387453 476
674075 661907 398
626163 691595 429
264403 690017 470
485504 65040 449
366033 865610 470
108406 7034 354
650170 93813 470
715919 338749 470
110819 153573 375
2851 126645 354
966456 29699 476
416317 747448 470
571526 585930 434
979981 462259 476
748308 671630 442
922885 954494 445
135841 910958 476
760854 360124 470
610954 218912 470
75064 678588 470
331380 284206 389
612930 359375 470
819894 239816 470
322913 585741 470
752317 479173 470
439402 784489 470
981169 776302 476
645709 477521 470
832303 761894 468
520619 879915 468
525775 393044 470
428757 622787 470
420247 260652 449
208989 613116 470
863470 825889 419
182494 982405 476
996292 260082 476
94118 319351 443
907438 194803 470
762181 263598 470
858107 858828 264
127704 902659 470
959652 609844 476
623027 172127 470
311407 701578 470
433443 600410 470
13524 523089 470
991989 840350 476
34971 340429 443
143962 787258 470
785772 396322 470
655498 104150 470
527760 421321 470
290218 638887 470
52180 777957 470
659716 677021 398
730415 756018 424
624473 908148 468
470905 675477 470
892827 761975 468
363385 363922 317
475730 445148 444
250857 999172 476
473533 973473 476
771138 270733 470
933794 418225 476
909096 369580 470
159183 868430 470
191357 442149 449
264160 117481 443
580930 365225 470
168939 962527 476
698810 710174 411
847384 169230 470
528313 247809 470
22800 834520 470
226754 925075 476
450982 416939 418
513421 904076 468
464506 191834 449
60620 485451 449
681285 710000 442
245446 943575 476
492725 600338 470
622725 467233 470
790116 966335 476
64597 989754 476
729832 94003 470
